itemID,item,item_type,category,choices,uni_lemma,definition,gloss,complexity_category
item_1,,word,,produces,,baa baa,,
item_2,,word,,produces,,meow,,
item_3,,word,,produces,,ouch,,
item_4,,word,,produces,,uh oh,,
item_5,,word,,produces,,woof woof,,
item_6,,word,,produces,,bear,,
item_7,,word,,produces,,bird,,
item_8,,word,,produces,,cat,,
item_9,,word,,produces,,dog,,
item_10,,word,,produces,,duck,,
item_11,,word,,produces,,horse,,
item_12,,word,,produces,,airplane,,
item_13,,word,,produces,,boat,,
item_14,,word,,produces,,car,,
item_15,,word,,produces,,ball,,
item_16,,word,,produces,,book,,
item_17,,word,,produces,,game,,
item_18,,word,,produces,,applesauce,,
item_19,,word,,produces,,candy,,
item_20,,word,,produces,,coke,,
item_21,,word,,produces,,cracker,,
item_22,,word,,produces,,juice,,
item_23,,word,,produces,,meat,,
item_24,,word,,produces,,milk,,
item_25,,word,,produces,,peas,,
item_26,,word,,produces,,hat,,
item_27,,word,,produces,,necklace,,
item_28,,word,,produces,,show,,
item_29,,word,,produces,,sock,,
item_30,,word,,produces,,chin,,
item_31,,word,,produces,,ear,,
item_32,,word,,produces,,hand,,
item_33,,word,,produces,,leg,,
item_34,,word,,produces,,broom,,
item_35,,word,,produces,,comb,,
item_36,,word,,produces,,mop,,
item_37,,word,,produces,,plate,,
item_38,,word,,produces,,trash,,
item_39,,word,,produces,,tray,,
item_40,,word,,produces,,towel,,
item_41,,word,,produces,,bed,,
item_42,,word,,produces,,bedroom,,
item_43,,word,,produces,,bench,,
item_44,,word,,produces,,oven,,
item_45,,word,,produces,,stairs,,
item_46,,word,,produces,,flag,,
item_47,,word,,produces,,raisin,,
item_48,,word,,produces,,star,,
item_49,,word,,produces,,swing,,
item_50,,word,,produces,,school,,
item_51,,word,,produces,,sky,,
item_52,,word,,produces,,party,,
item_53,,word,,produces,,friend,,
item_54,,word,,produces,,mommy,,
item_55,,word,,produces,,person,,
item_56,,word,,produces,,bye,,
item_57,,word,,produces,,hi,,
item_58,,word,,produces,,no,,
item_59,,word,,produces,,shopping,,
item_60,,word,,produces,,thank you,,
item_61,,word,,produces,,carry,,
item_62,,word,,produces,,chase,,
item_63,,word,,produces,,dump,,
item_64,,word,,produces,,finish,,
item_65,,word,,produces,,fit,,
item_66,,word,,produces,,hug,,
item_67,,word,,produces,,listen,,
item_68,,word,,produces,,like,,
item_69,,word,,produces,,pretend,,
item_70,,word,,produces,,rip,,
item_71,,word,,produces,,shake,,
item_72,,word,,produces,,taste,,
item_73,,word,,produces,,gentle,,
item_74,,word,,produces,,think,,
item_75,,word,,produces,,wish,,
item_76,,word,,produces,,all gone,,
item_77,,word,,produces,,cold,,
item_78,,word,,produces,,fast,,
item_79,,word,,produces,,happy,,
item_80,,word,,produces,,hot,,
item_81,,word,,produces,,last,,
item_82,,word,,produces,,tiny,,
item_83,,word,,produces,,wet,,
item_84,,word,,produces,,after,,
item_85,,word,,produces,,day,,
item_86,,word,,produces,,tonight,,
item_87,,word,,produces,,our,,
item_88,,word,,produces,,them,,
item_89,,word,,produces,,this,,
item_90,,word,,produces,,us,,
item_91,,word,,produces,,where,,
item_92,,word,,produces,,beside,,
item_93,,word,,produces,,down,,
item_94,,word,,produces,,under,,
item_95,,word,,produces,,all,,
item_96,,word,,produces,,much,,
item_97,,word,,produces,,could,,
item_98,,word,,produces,,need,,
item_99,,word,,produces,,would,,
item_100,,word,,produces,,if,,
item_101,,combine,,not yet; sometimes; often,,"Has your child begun to combine words yet, such as ""nother cookie"" or ""doggie bite""?",,
