itemID,item,item_type,category,choices,uni_lemma,definition,gloss,complexity_category
item_1,choo_choo,word,col_1,understands; produces,choo choo,choo choo,choo choo,
item_2,meow,word,col_1,understands; produces,meow,meow,meow,
item_3,ouch,word,col_1,understands; produces,ouch,ouch,ouch,
item_4,uh_oh,word,col_1,understands; produces,uh oh,uh oh,uh oh,
item_5,bird,word,col_1,understands; produces,bird,bird,bird,
item_6,dog,word,col_1,understands; produces,dog,dog,dog,
item_7,duck,word,col_1,understands; produces,duck,duck,duck,
item_8,kitty,word,col_1,understands; produces,kitty,kitty,kitty,
item_9,lion,word,col_1,understands; produces,lion,lion,lion,
item_10,mouse,word,col_1,understands; produces,mouse,mouse,mouse,
item_11,car,word,col_1,understands; produces,car,car,car,
item_12,stroller,word,col_1,understands; produces,stroller,stroller,stroller,
item_13,ball,word,col_1,understands; produces,ball,ball,ball,
item_14,book,word,col_1,understands; produces,book,book,book,
item_15,doll,word,col_1,understands; produces,doll,doll,doll,
item_16,bread,word,col_1,understands; produces,bread,bread,bread,
item_17,candy,word,col_1,understands; produces,candy,candy,candy,
item_18,cereal,word,col_1,understands; produces,cereal,cereal,cereal,
item_19,cookie,word,col_1,understands; produces,cookie,cookie,cookie,
item_20,juice,word,col_1,understands; produces,juice,juice,juice,
item_21,toast,word,col_1,understands; produces,toast,toast,toast,
item_22,hat,word,col_1,understands; produces,hat,hat,hat,
item_23,pants,word,col_1,understands; produces,pants,pants,pants,
item_24,show,word,col_1,understands; produces,show,show,show,
item_25,sock,word,col_1,understands; produces,sock,sock,sock,
item_26,eye,word,col_1,understands; produces,eye,eye,eye,
item_27,head,word,col_1,understands; produces,head,head,head,
item_28,leg,word,col_1,understands; produces,leg,leg,leg,
item_29,nose,word,col_1,understands; produces,nose,nose,nose,
item_30,tooth,word,col_1,understands; produces,tooth,tooth,tooth,
item_31,chair,word,col_2,understands; produces,chair,chair,chair,
item_32,couch,word,col_2,understands; produces,couch,couch,couch,
item_33,kitchen,word,col_2,understands; produces,kitchen,kitchen,kitchen,
item_34,table,word,col_2,understands; produces,table,table,table,
item_35,tv,word,col_2,understands; produces,tv,television,tv,
item_36,blanket,word,col_2,understands; produces,blanket,blanket,blanket,
item_37,bottle,word,col_2,understands; produces,bottle,bottle,bottle,
item_38,cup,word,col_2,understands; produces,cup,cup,cup,
item_39,dish,word,col_2,understands; produces,dish,dish,dish,
item_40,lamp,word,col_2,understands; produces,lamp,lamp,lamp,
item_41,radio,word,col_2,understands; produces,radio,radio,radio,
item_42,spoon,word,col_2,understands; produces,spoon,spoon,spoon,
item_43,flower,word,col_2,understands; produces,flower,flower,flower,
item_44,home,word,col_2,understands; produces,home,home,home,
item_45,moon,word,col_2,understands; produces,moon,moon,moon,
item_46,outside,word,col_2,understands; produces,outside,outside,outside,
item_47,plant,word,col_2,understands; produces,plant,plant,plant,
item_48,rain,word,col_2,understands; produces,rain,rain,rain,
item_49,rock,word,col_2,understands; produces,rock,rock,rock,
item_50,water,word,col_2,understands; produces,water,water,water,
item_51,babysitter,word,col_2,understands; produces,babysitter,babysitter,babysitter,
item_52,girl,word,col_2,understands; produces,girl,girl,girl,
item_53,grandma,word,col_2,understands; produces,grandma,grandma,grandma,
item_54,mommy,word,col_2,understands; produces,mommy,mommy,mommy,
item_55,bath,word,col_2,understands; produces,bath,bath,bath,
item_56,dont,word,col_2,understands; produces,don't,don't,don't,
item_57,hi,word,col_2,understands; produces,hi,hi,hi,
item_58,nightnight,word,col_2,understands; produces,night night,night night,night night,
item_59,pattycake,word,col_2,understands; produces,pattycake,patty cake,pattycake,
item_60,please,word,col_2,understands; produces,please,please,please,
item_61,wait,word,col_3,understands; produces,wait,wait,wait,
item_62,break,word,col_3,understands; produces,break,break,break,
item_63,feed,word,col_3,understands; produces,feed,feed,feed,
item_64,finish,word,col_3,understands; produces,finish,finish,finish,
item_65,help,word,col_3,understands; produces,help,help,help,
item_66,jump,word,col_3,understands; produces,jump,jump,jump,
item_67,kick,word,col_3,understands; produces,kick,kick,kick,
item_68,kiss,word,col_3,understands; produces,kiss,kiss,kiss,
item_69,push,word,col_3,understands; produces,push,push,push,
item_70,sing,word,col_3,understands; produces,sing,sing,sing,
item_71,smile,word,col_3,understands; produces,smile,smile,smile,
item_72,night,word,col_3,understands; produces,night,night,night,
item_73,today,word,col_3,understands; produces,today,today,today,
item_74,allgone,word,col_3,understands; produces,all gone,all gone,all gone,
item_75,big,word,col_3,understands; produces,big,big,big,
item_76,broken,word,col_3,understands; produces,broken,broken,broken,
item_77,dark,word,col_3,understands; produces,dark,dark,dark,
item_78,fast,word,col_3,understands; produces,fast,fast,fast,
item_79,hurt,word,col_3,understands; produces,hurt,hurt,hurt,
item_80,pretty,word,col_3,understands; produces,pretty,pretty,pretty,
item_81,soft,word,col_3,understands; produces,soft,soft,soft,
item_82,i,word,col_3,understands; produces,i,I,I,
item_83,me,word,col_3,understands; produces,me,me,me,
item_84,how,word,col_3,understands; produces,how,how,how,
item_85,who,word,col_3,understands; produces,who,who,who,
item_86,away,word,col_3,understands; produces,away,away,away,
item_87,out,word,col_3,understands; produces,out,out,out,
item_88,other,word,col_3,understands; produces,other,other,other,
item_89,some,word,col_3,understands; produces,some,some,some,
