itemID,item,item_type,category,choices,definition,uni_lemma,gloss,complexity_category
item_1,respnom,first_signs,first_signs,no; yes,Il répond quand on dit son nom (ex.: se retourne et regarde vers la personne qui l’appelle).,,,
item_2,respnon,first_signs,first_signs,no; yes,"Il répond à “non, non” (ex.: arrête ce qu’il faisait, au moins pour un moment).",,,
item_3,reactparent,first_signs,first_signs,no; yes,Il réagit à “C’est papa” ou “C’est maman” en regardant autour de lui pour les trouver.,,,
item_4,arreteca,phrases,phrases,understands,Arrête ça.,,,
item_5,assieds,phrases,phrases,understands,Assieds-toi.,,,
item_6,astufaim,phrases,phrases,understands,As-tu faim?,,,
item_7,cestbien,phrases,phrases,understands,C’est bien / C’est beau.,,,
item_8,cestlheure,phrases,phrases,understands,C’est l’heure d’aller se coucher / du dodo.,,,
item_9,cracheca,phrases,phrases,understands,Crache ça.,,,
item_10,byebye,phrases,phrases,understands,Dis bye bye / Fais tata.,,,
item_11,donnemoi,phrases,phrases,understands,Donne-moi un bec.,,,
item_12,donnele,phrases,phrases,understands,Donne-le à maman.,,,
item_13,enveuxtu,phrases,phrases,understands,En veux-tu encore?,,,
item_14,estufatig,phrases,phrases,understands,Es-tu fatigué?,,,
item_15,faisattent,phrases,phrases,understands,Fais attention.,,,
item_16,lancelab,phrases,phrases,understands,Lance la balle.,,,
item_17,levetoi,phrases,phrases,understands,Lève-toi.,,,
item_18,nebouge,phrases,phrases,understands,Ne bouge pas.,,,
item_19,nefaispas,phrases,phrases,understands,Ne fais pas ça.,,,
item_20,netouche,phrases,phrases,understands,Ne touche pas.,,,
item_21,changer,phrases,phrases,understands,On va changer la couche.,,,
item_22,ouvrela,phrases,phrases,understands,Ouvre la bouche.,,,
item_23,papaarri,phrases,phrases,understands,Papa/maman est arrivé(e).,,,
item_24,regarde,phrases,phrases,understands,Regarde.,,,
item_25,restetranq,phrases,phrases,understands,Reste tranquille.,,,
item_26,serremoi,phrases,phrases,understands,Serre-moi fort.,,,
item_27,tapedans,phrases,phrases,understands,Tape dans tes mains.,,,
item_28,vachercher,phrases,phrases,understands,Va chercher _______.,,,
item_29,vienstute,phrases,phrases,understands,Viens-tu te promener?,,,
item_30,viensici,phrases,phrases,understands,Viens ici.,,,
item_example1,phrase_example1,phrase_examples,phrase_examples,,,,,
item_example2,phrase_example2,phrase_examples,phrase_examples,,,,,
item_example3,phrase_example3,phrase_examples,phrase_examples,,,,,
item_31,imiter,starting_to_talk,starting_to_talk,not yet; sometimes; often,"Certains enfants aiment faire le perroquet ou imiter ce qu’ils entendent (comme des mots qu’ils apprennent ou des petits bouts de phrases; par exemple, répéter “aller dehors” après avoir entendu maman dire “Maman ne peut pas aller dehors.”) À quelle fréquence votre enfant imite-t-il des mots? .............",,,
item_32,nommer,starting_to_talk,starting_to_talk,not yet; sometimes; often,"Certains enfants aiment nommer tout ce qu’ils voient, comme s’ils étaient fiers de connaître le nom des objets et de le montrer. À quelle fréquence votre enfant a-t-il ce genre de comportement?",,,
item_33,beeebeee,word,sounds,understands; produces,bêêê bêêê,,,
item_34,cocorico,word,sounds,understands; produces,cocorico,,,
item_35,coin_coin,word,sounds,understands; produces,coin coin,,,
item_36,grr,word,sounds,understands; produces,grr,,,
item_37,meuh,word,sounds,understands; produces,meuh,,,
item_38,miaou,word,sounds,understands; produces,miaou,,,
item_39,miam_miam,word,sounds,understands; produces,miam miam,,,
item_40,oh_oh,word,sounds,understands; produces,oh oh,,,
item_41,aie,word,sounds,understands; produces,aïe,,,
item_42,tchou_tchou,word,sounds,understands; produces,tchou tchou,,,
item_43,vroum,word,sounds,understands; produces,vroum,,,
item_44,wouf_wouf,word,sounds,understands; produces,wouf wouf,,,
item_45,abeille,word,animals,understands; produces,abeille,,,
item_46,ane,word,animals,understands; produces,âne,,,
item_47,animal,word,animals,understands; produces,animal,,,
item_48,bibitte,word,animals,understands; produces,bibitte,,,
item_49,canard,word,animals,understands; produces,canard,,,
item_50,chat,word,animals,understands; produces,chat,,,
item_51,petit_minou,word,animals,understands; produces,petit minou,,,
item_52,cheval,word,animals,understands; produces,cheval,,,
item_53,chien,word,animals,understands; produces,chien,,,
item_54,petit_chien,word,animals,understands; produces,petit chien,,,
item_55,cochon,word,animals,understands; produces,cochon,,,
item_56,ecureuil,word,animals,understands; produces,écureuil,,,
item_57,elephant,word,animals,understands; produces,éléphant,,,
item_58,girafe,word,animals,understands; produces,girafe,,,
item_59,grenouille,word,animals,understands; produces,grenouille,,,
item_60,hibou,word,animals,understands; produces,hibou,,,
item_61,lapin,word,animals,understands; produces,lapin,,,
item_62,lion,word,animals,understands; produces,lion,,,
item_63,mouton,word,animals,understands; produces,mouton,,,
item_64,oiseau,word,animals,understands; produces,oiseau,,,
item_65,ours,word,animals,understands; produces,ours,,,
item_66,ourson,word,animals,understands; produces,ourson/nounours,,,
item_67,papillon,word,animals,understands; produces,papillon,,,
item_68,poisson1,word,animals,understands; produces,poisson,,,
item_69,poule,word,animals,understands; produces,poule,,,
item_70,singe,word,animals,understands; produces,singe,,,
item_71,souris,word,animals,understands; produces,souris,,,
item_72,tigre,word,animals,understands; produces,tigre,,,
item_73,tortue,word,animals,understands; produces,tortue,,,
item_74,vache,word,animals,understands; produces,vache,,,
item_75,auto,word,vehicles,understands; produces,auto,,,
item_76,autobus,word,vehicles,understands; produces,autobus,,,
item_77,avion,word,vehicles,understands; produces,avion,,,
item_78,bicyclette,word,vehicles,understands; produces,bicyclette,,,
item_79,camion,word,vehicles,understands; produces,camion,,,
item_80,camionpom,word,vehicles,understands; produces,camion de pompier,,,
item_81,moto,word,vehicles,understands; produces,moto,,,
item_82,poussette,word,vehicles,understands; produces,poussette,,,
item_83,train,word,vehicles,understands; produces,train,,,
item_84,balle,word,toys,understands; produces,balle,,,
item_85,ballon,word,toys,understands; produces,ballon,,,
item_86,bloc,word,toys,understands; produces,bloc,,,
item_87,bulles,word,toys,understands; produces,bulles,,,
item_88,crayon_stylo,word,toys,understands; produces,crayon/stylo,,,
item_89,jouet,word,toys,understands; produces,jouet,,,
item_90,livre,word,toys,understands; produces,livre,,,
item_91,poupee,word,toys,understands; produces,poupée,,,
item_92,toutou,word,toys,understands; produces,toutou,,,
item_93,banane,word,food_drink,understands; produces,banane,,,
item_94,beurre,word,food_drink,understands; produces,beurre,,,
item_95,biscuit,word,food_drink,understands; produces,biscuit,,,
item_96,biscuit_soda,word,food_drink,understands; produces,biscuit soda,,,
item_97,bonbon,word,food_drink,understands; produces,bonbon,,,
item_98,cafe,word,food_drink,understands; produces,café,,,
item_99,carotte,word,food_drink,understands; produces,carotte,,,
item_100,cereales,word,food_drink,understands; produces,céréales,,,
item_101,cheerios,word,food_drink,understands; produces,Cheerios,,,
item_102,crème_glacee,word,food_drink,understands; produces,crème glacée,,,
item_103,eau1,word,food_drink,understands; produces,eau,,,
item_104,fromage,word,food_drink,understands; produces,fromage,,,
item_105,gateau,word,food_drink,understands; produces,gâteau,,,
item_106,jus,word,food_drink,understands; produces,jus,,,
item_107,lait,word,food_drink,understands; produces,lait,,,
item_108,nouilles,word,food_drink,understands; produces,nouilles/pâtes,,,
item_109,nourriture,word,food_drink,understands; produces,nourriture,,,
item_110,oeuf,word,food_drink,understands; produces,oeuf,,,
item_111,orange,word,food_drink,understands; produces,orange,,,
item_112,pain,word,food_drink,understands; produces,pain,,,
item_113,pizza,word,food_drink,understands; produces,pizza,,,
item_114,pois,word,food_drink,understands; produces,pois,,,
item_115,poisson2,word,food_drink,understands; produces,poisson,,,
item_116,pomme,word,food_drink,understands; produces,pomme,,,
item_117,poulet,word,food_drink,understands; produces,poulet,,,
item_118,raisin,word,food_drink,understands; produces,raisin,,,
item_119,raisin_sec,word,food_drink,understands; produces,raisin sec,,,
item_120,spaghetti,word,food_drink,understands; produces,spaghetti,,,
item_121,toast,word,food_drink,understands; produces,toast/rôtie,,,
item_122,viande,word,food_drink,understands; produces,viande,,,
item_123,bas,word,clothing,understands; produces,bas,,,
item_124,bavette,word,clothing,understands; produces,bavette,,,
item_125,botte,word,clothing,understands; produces,botte,,,
item_126,bouton,word,clothing,understands; produces,bouton,,,
item_127,chandail,word,clothing,understands; produces,chandail,,,
item_128,chapeau,word,clothing,understands; produces,chapeau,,,
item_129,chemise,word,clothing,understands; produces,chemise,,,
item_130,collier,word,clothing,understands; produces,collier,,,
item_131,couche,word,clothing,understands; produces,couche,,,
item_132,jeans,word,clothing,understands; produces,jeans,,,
item_133,manteau,word,clothing,understands; produces,manteau,,,
item_134,pantalon,word,clothing,understands; produces,pantalon,,,
item_135,pyjama,word,clothing,understands; produces,pyjama,,,
item_136,robe,word,clothing,understands; produces,robe,,,
item_137,soulier,word,clothing,understands; produces,soulier,,,
item_138,zip_ferme,word,clothing,understands; produces,zip/fermeture-éclair,,,
item_139,bedaine,word,body_parts,understands; produces,bedaine/ventre,,,
item_140,bobo,word,body_parts,understands; produces,bobo,,,
item_141,bouche,word,body_parts,understands; produces,bouche,,,
item_142,bras,word,body_parts,understands; produces,bras,,,
item_143,cheveux,word,body_parts,understands; produces,cheveux,,,
item_144,dent,word,body_parts,understands; produces,dent,,,
item_145,doigt,word,body_parts,understands; produces,doigt,,,
item_146,genou,word,body_parts,understands; produces,genou,,,
item_147,jambe,word,body_parts,understands; produces,jambe,,,
item_148,joue,word,body_parts,understands; produces,joue,,,
item_149,langue,word,body_parts,understands; produces,langue,,,
item_150,main,word,body_parts,understands; produces,main,,,
item_151,moustache,word,body_parts,understands; produces,moustache,,,
item_152,nez,word,body_parts,understands; produces,nez,,,
