itemID,item,type,category,choices,definition,uni_lemma,gloss,complexity_category,count
item_1,am,word,sounds,produces,¡am!,yum yum,yum yum,,1
item_2,ay,word,sounds,produces,¡ay!,ouch,ouch,,2
item_3,pum,word,sounds,produces,¡pum!,bang,bang,,3
item_4,beemee,word,sounds,produces,bee/mee,baa baa,baa baa,,4
item_5,cuacua,word,sounds,produces,cuacuá,quack quack,quack quack,,5
item_6,guagua,word,sounds,produces,guaguá,woof woof,woof woof,,6
item_7,miau,word,sounds,produces,miau,meow,meow,,7
item_8,muu,word,sounds,produces,muu,moo,moo,,8
item_9,piopio,word,sounds,produces,pío pío,tweet tweet,tweet tweet,,9
item_10,pipi,word,sounds,produces,pipí,honk honk,honk honk,,10
item_11,qiqiriqi,word,sounds,produces,quiquiriquí,cockadoodledoo,cockadoodledoo,,11
item_12,tutu,word,sounds,produces,tutú,choo choo,choo choo,,12
item_13,abeja,word,animals,produces,abeja,bee,bee,,1
item_14,animal,word,animals,produces,animal,animal,animal,,2
item_15,arana,word,animals,produces,araña,spider,spider,,3
item_16,ardilla,word,animals,produces,ardilla,squirrel,squirrel,,4
item_17,bicho,word,animals,produces,bicho,,bug,,5
item_18,borrego,word,animals,produces,borrego,lamb,lamb,,6
item_19,buey,word,animals,produces,buey,ox,ox,,7
item_20,buho,word,animals,produces,búho,owl,owl,,8
item_21,burro,word,animals,produces,burro,donkey,donkey,,9
item_22,caballo,word,animals,produces,caballo,horse,horse,,10
item_23,cebra,word,animals,produces,cebra,,zebra,,11
item_24,cocdrilo,word,animals,produces,cocodrilo,,crocodile,,12
item_25,conejo,word,animals,produces,conejo,bunny,rabbit,,13
item_26,elefante,word,animals,produces,elefante,elephant,elephant,,14
item_27,foca,word,animals,produces,foca,,seal,,15
item_28,gallina,word,animals,produces,gallina,hen,hen,,16
item_29,ganso,word,animals,produces,ganso,,goose,,17
item_30,gato,word,animals,produces,gato,cat,cat,,18
item_31,guajolot,word,animals,produces,guajolote,turkey,turkey,,19
item_32,hippotmo,word,animals,produces,hipopótamo,hippopotamus,hippotmo,,20
item_33,hormiga,word,animals,produces,hormiga,ant,ant,,21
item_34,jirafa,word,animals,produces,jirafa,giraffe,giraffe,,22
item_35,leon,word,animals,produces,león,lion,lion,,23
item_36,lobo,word,animals,produces,lobo,wolf,wolf,,24
item_37,mariposa,word,animals,produces,mariposa,butterfly,butterfly,,25
item_38,mono,word,animals,produces,mono,monkey,monkey,,26
item_39,mosca,word,animals,produces,mosca,fly (animal),fly,,27
item_40,mosco,word,animals,produces,mosco,,mosquito,,28
item_41,oso,word,animals,produces,oso,bear,bear,,29
item_42,pajaro,word,animals,produces,pájaro,bird,bird,,30
item_43,pato,word,animals,produces,pato,duck,duck,,31
item_44,perro,word,animals,produces,perro,dog,dog,,32
item_45,pescado1,word,animals,produces,pescado,fish (animal),fish,,33
item_46,pinguino,word,animals,produces,pingüino,penguin,penguin,,34
item_47,pollito,word,animals,produces,pollito,chick,chick,,35
item_48,puerco,word,animals,produces,puerco,pig,pig,,36
item_49,rano,word,animals,produces,rana,frog,frog,,37
item_50,raton,word,animals,produces,ratón,mouse,mouse,,38
item_51,tigre,word,animals,produces,tigre,tiger,tiger,,39
item_52,tortuga,word,animals,produces,tortuga,turtle,turtle,,40
item_53,vaca,word,animals,produces,vaca,cow,cow,,41
item_54,venado,word,animals,produces,venado,deer,deer,,42
item_55,vibora,word,animals,produces,víbora,,viper,,43
item_56,autobus,word,vehicles,produces,autobús,,bus,,1
item_57,avion,word,vehicles,produces,avión,airplane,airplane,,2
item_58,barco,word,vehicles,produces,barco,boat,boat,,3
item_59,biciclet,word,vehicles,produces,bicicleta,bicycle,bike,,4
item_60,camibomb,word,vehicles,produces,camión de bombero,firetruck,firetruck,,5
item_61,camion,word,vehicles,produces,camión/troca,truck,camion,,6
item_62,carreola,word,vehicles,produces,carreola,stroller,stroller,,7
item_63,carro,word,vehicles,produces,carro/coche,car,car,,8
item_64,helicptr,word,vehicles,produces,helicóptero,helicopter,helicopter,,9
item_65,moto,word,vehicles,produces,moto,motorcycle,motorbike,,10
item_66,tractor,word,vehicles,produces,tractor,tractor,tractor,,11
item_67,tren,word,vehicles,produces,tren,train,train,,12
item_68,tricicl1,word,vehicles,produces,triciclo (vehicles),,tricycle,,13
item_69,trineo,word,vehicles,produces,trineo,,sled,,14
