itemID,item,type,category,choices,definition,uni_lemma,gloss,complexity_category,count
item_70,agua,word,food_drink,produces,agua,water (beverage),water,,1
item_71,arroz,word,food_drink,produces,arroz,rice,rice,,2
item_72,atole,word,food_drink,produces,atole,atole,porridge,,3
item_73,atun,word,food_drink,produces,atún,,tuna fish,,4
item_74,azucar,word,food_drink,produces,azúcar,,sugar,,5
item_75,mani,word,food_drink,produces,cacahuete/maní,,peanut,,6
item_76,cafe,word,food_drink,produces,café,coffee,coffee,,7
item_77,calabaza,word,food_drink,produces,calabaza,,pumpkin,,8
item_78,carne,word,food_drink,produces,carne,meat,meat,,9
item_79,cereal,word,food_drink,produces,cereal,cereal,cereal,,10
item_80,chicharo,word,food_drink,produces,chícharo,,pea,,11
item_81,chicle,word,food_drink,produces,chicle,,chewing gum,,12
item_82,chile,word,food_drink,produces,chile,chili,chili,,13
item_83,chocolat,word,food_drink,produces,chocolate,,chocolate,,14
item_84,comida,word,food_drink,produces,comida,food,food,,15
item_85,dulce,word,food_drink,produces,dulce,candy,sweet candy,,16
item_86,durazno,word,food_drink,produces,durazno,,peach,,17
item_87,ejotes,word,food_drink,produces,ejotes,,green beans,,18
item_88,elote,word,food_drink,produces,elote,,corncob,,19
item_89,espgueti,word,food_drink,produces,espagueti,,spaghetti,,20
item_90,fresa,word,food_drink,produces,fresa,,strawberry,,21
item_91,frijoles,word,food_drink,produces,frijoles,beans,beans,,22
item_92,galleta,word,food_drink,produces,galleta,cookie,cookie,,23
item_93,gellatin,word,food_drink,produces,gelatina,,jelly,,24
item_94,hamburgs,word,food_drink,produces,hamburguesa,,hamburger,,25
item_95,helado,word,food_drink,produces,helado/nieve,ice cream,ice cream,,26
item_96,hielo,word,food_drink,produces,hielo,,ice,,27
item_97,hotcakes,word,food_drink,produces,hot cakes,,hotcakes,,28
item_98,huevo,word,food_drink,produces,huevo,egg,egg,,29
item_99,jamon,word,food_drink,produces,jamón,ham,ham,,30
item_100,jugo,word,food_drink,produces,jugo,juice,juice,,31
item_101,leche,word,food_drink,produces,leche,milk,milk,,32
item_102,licuado,word,food_drink,produces,licuado,,smoothie,,33
item_103,limonad,word,food_drink,produces,limonada,,lemonade,,34
item_104,mantqila,word,food_drink,produces,mantequilla,,butter,,35
item_105,manzana,word,food_drink,produces,manzana,apple,apple,,36
item_106,melon,word,food_drink,produces,melón,,melon,,37
item_107,mermelad,word,food_drink,produces,mermelada,,marmalade,,38
item_108,naranja,word,food_drink,produces,naranja,orange (food),orange (fruit),,39
item_109,paleta,word,food_drink,produces,paleta,lollipop,lollipop,,40
item_110,palomtas,word,food_drink,produces,palomitas,,popcorn,,41
item_111,pan,word,food_drink,produces,pan,bread,bread,,42
item_112,pandulc,word,food_drink,produces,pan dulce,,sweet bread,,43
item_113,papas,word,food_drink,produces,papas,,potatoes,,44
item_114,papitas,word,food_drink,produces,papitas,,chips,,45
item_115,pasas,word,food_drink,produces,pasas,,raisins,,46
item_116,pastel,word,food_drink,produces,pastel,cake,cake,,47
item_117,pentbttr,word,food_drink,produces,peanut butter,,peanut butter,,48
item_118,pescado2,word,food_drink,produces,pescado (food_drink),,fish (food),,49
item_119,platano,word,food_drink,produces,plátano/banana,banana,banana,,50
item_120,pollo,word,food_drink,produces,pollo,chicken (food),chicken,,51
item_121,quesdila,word,food_drink,produces,quesadilla,quesadilla,quesadilla,,52
item_122,queso,word,food_drink,produces,queso,cheese,cheese,,53
item_123,sal,word,food_drink,produces,sal,,salt,,54
item_124,salchch,word,food_drink,produces,salchicha,hot dog,hot dog,,55
item_125,salsa,word,food_drink,produces,salsa,,salsa,,56
item_126,sandia,word,food_drink,produces,sandía,,watermelon,,57
item_127,soda,word,food_drink,produces,soda/refresco,soda,soda water,,58
item_128,sopa,word,food_drink,produces,sopa,soup,soup,,59
item_129,taco,word,food_drink,produces,taco,,taco,,60
item_130,te1,word,food_drink,produces,té (food),,tea,,61
item_131,torta,word,food_drink,produces,torta/lonche,,lunch sub,,62
item_132,tortila,word,food_drink,produces,tortilla,tortilla,tortilla,,63
item_133,uvas,word,food_drink,produces,uvas,grapes,grapes,,64
item_134,vainilla,word,food_drink,produces,vainilla,,vanilla,,65
item_135,vitamina,word,food_drink,produces,vitaminas,,vitamin,,66
item_136,yoghurt,word,food_drink,produces,yoghurt,,yogurt,,67
item_137,zanahori,word,food_drink,produces,zanahoria,,carrot,,68
item_138,abrigo,word,clothing,produces,abrigo,,coat,,1
item_139,aretes,word,clothing,produces,aretes,earrings,earrings,,2
item_140,babera,word,clothing,produces,babero,bib,bib,,3
item_141,bolsa1,word,clothing,produces,bolsa (clothing),purse,purse,,4
item_142,botas,word,clothing,produces,botas,boots,boots,,5
item_143,boton,word,clothing,produces,botón,button,button,,6
item_144,bufanda,word,clothing,produces,bufanda,,scarf,,7
item_145,calcetin,word,clothing,produces,calcetín,sock,sock,,8
item_146,calzon,word,clothing,produces,calzón,underpants,underwear,,9
item_147,camisa,word,clothing,produces,camisa,,shirt,,10
item_148,chancla,word,clothing,produces,chancla,,slipper,,11
item_149,cierre,word,clothing,produces,cierre,zipper,zipper,,12
item_150,collar,word,clothing,produces,collar,necklace,necklace,,13
item_151,falda,word,clothing,produces,falda,skirt,skirt,,14
item_152,gorra,word,clothing,produces,gorra,,cap,,15
item_153,guantes,word,clothing,produces,guantes,,gloves,,16
item_154,lentes,word,clothing,produces,lentes,glasses,eyeglasses,,17
item_155,medias,word,clothing,produces,medias,tights,tights,,18
item_156,panal,word,clothing,produces,pañal,diaper,diaper,,19
item_157,pantalon,word,clothing,produces,pantalón,pants,pants,,20
item_158,pijama,word,clothing,produces,pijama,pajamas,pajamas,,21
item_159,playera,word,clothing,produces,playera,t-shirt,t-shirt,,22
item_160,ropas,word,clothing,produces,ropa,,clothes,,23
item_161,shorts,word,clothing,produces,shorts,shorts,shorts,,24
item_162,sombrero,word,clothing,produces,sombrero,hat,hat,,25
item_163,sueter,word,clothing,produces,suéter,sweater,sweater,,26
item_164,vestido,word,clothing,produces,vestido,dress (object),dress,,27
item_165,zapato,word,clothing,produces,zapato,shoe,shoe,,28
item_166,barba,word,body_parts,produces,barba,,beard,,1
item_167,bigote,word,body_parts,produces,bigote,moustache,moustache,,2
item_168,boca,word,body_parts,produces,boca,mouth,mouth,,3
item_169,brazo,word,body_parts,produces,brazo,arm,arm,,4
item_170,cabeza,word,body_parts,produces,cabeza,head,head,,5
item_171,cachete,word,body_parts,produces,cachete,cheek,cachete,,6
item_172,cara,word,body_parts,produces,cara,face,face,,7
item_173,chichi,word,body_parts,produces,chichi/pecho*,breast,breast,,8
item_174,dedo,word,body_parts,produces,dedo,finger,finger,,9
item_175,dientes,word,body_parts,produces,dientes,tooth,teeth,,10
item_176,gargnta,word,body_parts,produces,garganta/anginas,,throat,,11
item_177,hombro,word,body_parts,produces,hombro,,shoulder,,12
item_178,labios,word,body_parts,produces,labios,,lips,,13
item_179,lengua,word,body_parts,produces,lengua,tongue,tongue,,14
item_180,mano,word,body_parts,produces,mano,hand,hand,,15
item_181,nalgas,word,body_parts,produces,nalgas*,,buttocks,,16
item_182,nariz,word,body_parts,produces,nariz,nose,nose,,17
item_183,ojos,word,body_parts,produces,ojos,eye,eyes,,18
item_184,ombligo,word,body_parts,produces,ombligo,belly button,belly button,,19
item_185,oreja,word,body_parts,produces,oreja,ear,ear,,20
item_186,panza,word,body_parts,produces,panza,tummy,belly,,21
item_187,pelo,word,body_parts,produces,pelo,hair,hair,,22
item_188,pene,word,body_parts,produces,pene*,penis,penis,,23
item_189,piernas,word,body_parts,produces,piernas,leg,legs,,24
item_190,pies,word,body_parts,produces,pies,foot,feet,,25
item_191,rodilla,word,body_parts,produces,rodilla,knee,knee,,26
item_192,vagina,word,body_parts,produces,vagina*,vagina,vagina,,27
item_193,bat,word,toys,produces,bat,bat,bat,,1
item_194,burbujas,word,toys,produces,burbujas,,bubbles,,2
item_195,colores,word,toys,produces,colores,,colors,,3
item_196,crayolas,word,toys,produces,crayolas,,crayons,,4
item_197,globo,word,toys,produces,globo/bomba,balloon,air balloon,,5
item_198,hoja,word,toys,produces,hoja/papel,,paper,,6
item_199,juguete,word,toys,produces,juguete,toy (object),toy,,7
item_200,lapiz,word,toys,produces,lápiz,pen/pencil,pencil,,8
item_201,libro,word,toys,produces,libro,book,book,,9
item_202,muneca,word,toys,produces,muñeca,doll,baby doll,,10
item_203,osito,word,toys,produces,osito,teddybear,teddy bear,,11
item_204,patines,word,toys,produces,patines,,roller skates,,12
item_205,pelota,word,toys,produces,pelota,ball,ball,,13
item_206,pintura,word,toys,produces,pinturas,,painting,,14
item_207,plastlin,word,toys,produces,plastilina,,clay,,15
item_208,pluma,word,toys,produces,pluma/plumones,,pen,,16
item_209,tambor,word,toys,produces,tambor,drum,drum,,17
item_210,tricicl2,word,toys,produces,triciclo,,tricycle (toy),,18
item_211,almohada,word,household,produces,almohada,pillow,pillow,,1
item_212,aspirdor,word,household,produces,aspiradora,vacuum,vacuum cleaner,,2
item_213,basura,word,household,produces,basura,trash,garbage can,,3
item_214,bolsa2,word,household,produces,bolsa,,bag,,4
item_215,botlmaml,word,household,produces,botella/mamila,bottle,bottle,,5
item_216,caja,word,household,produces,caja,box,box,,6
item_217,camara,word,household,produces,cámara,,camera,,7
item_218,canasta,word,household,produces,canasta,,basket,,8
item_219,cassette,word,household,produces,cassette,,cassette,,9
item_220,cepillo,word,household,produces,cepillo,brush (object),brush,,10
item_221,cepidnte,word,household,produces,cepillo de dientes,toothbrush,toothbrush,,11
item_222,cerills,word,household,produces,cerillos,,matches,,12
item_223,chupete,word,household,produces,chupón/chupete,pacifier,pacifier,,13
item_224,cigarrs,word,household,produces,cigarros,cigarette,cigarettes,,14
item_225,clavo,word,household,produces,clavo,,nail,,15
item_226,cobija,word,household,produces,cobija,blanket,blanket,,16
item_227,cuadro,word,household,produces,cuadro,picture,picture,,17
item_228,cubeta,word,household,produces,cubeta,,tray,,18
item_229,cuchara,word,household,produces,cuchara,spoon,spoon,,19
item_230,cuchillo,word,household,produces,cuchillo,knife,knife,,20
item_231,dinero,word,household,produces,dinero,money,money,,21
item_232,escoba,word,household,produces,escoba,broom,broom,,22
item_233,espejo,word,household,produces,espejo,mirror,mirror,,23
item_234,fotos,word,household,produces,fotos,photos,photos,,24
item_235,jabon,word,household,produces,jabón,soap,soap,,25
item_236,lampara,word,household,produces,lámpara,,lamp,,26
item_237,llave,word,household,produces,llave,keys,key,,27
item_238,luz,word,household,produces,luz,light,light,,28
item_239,martillo,word,household,produces,martillo,hammer,hammer,,29
item_240,medicina,word,household,produces,medicina,medicine,medicine,,30
item_241,olla,word,household,produces,olla,,cooking pot,,31
item_242,panuelo,word,household,produces,pañuelo,,handkerchief,,32
item_243,papel,word,household,produces,papel,paper,paper,,33
item_244,pastdnte,word,household,produces,pasta de dientes,,toothpaste,,34
item_245,peine,word,household,produces,peine,comb (object),hair comb,,35
item_246,peridco,word,household,produces,periódico,,newspaper,,36
item_247,plancha,word,household,produces,plancha,,iron,,37
item_248,plato,word,household,produces,plato,plate,dish,,38
item_249,radio,word,household,produces,radio,radio,radio,,39
item_250,reloj,word,household,produces,reloj,watch (object),watch,,40
item_251,servleta,word,household,produces,servilleta,,napkin,,41
item_252,tapete,word,household,produces,tapete,,rug,,42
item_253,taza,word,household,produces,taza,cup,cup,,43
item_254,telefono,word,household,produces,teléfono,telephone,phone,,44
item_255,tenedor,word,household,produces,tenedor,fork,fork,,45
item_256,tijeras,word,household,produces,tijeras,scissors,pair of scissors,,46
item_257,toalla,word,household,produces,toalla,towel,towel,,47
item_258,trapo,word,household,produces,trapo,cloth,cloth,,48
item_259,vasos,word,household,produces,vasos,glass,glasses,,49
item_260,vela,word,household,produces,vela,candle,candle,,50
item_261,bacinica,word,furniture_rooms,produces,bacinica,potty,potty,,1
item_262,banco1,word,furniture_rooms,produces,banco (outside),,bench,,2
item_263,bano,word,furniture_rooms,produces,baño,bathroom,bath,,3
item_264,cajon,word,furniture_rooms,produces,cajón,drawer,drawer,,4
item_265,cama,word,furniture_rooms,produces,cama,bed,bed,,5
item_266,champu,word,furniture_rooms,produces,champú,,shampoo,,6
item_267,cochera,word,furniture_rooms,produces,cochera/garage,garage,garage,,7
item_268,cocina,word,furniture_rooms,produces,cocina,kitchen,kitchen room,,8
item_269,comptdra,word,furniture_rooms,produces,computadora,,computer,,9
item_270,cuarto,word,furniture_rooms,produces,cuarto,room,room,,10
item_271,cuna,word,furniture_rooms,produces,cuna,crib,crib,,11
item_272,escalera,word,furniture_rooms,produces,escaleras,stairs,stairs,,12
item_273,estufa,word,furniture_rooms,produces,estufa,stove,stove,,13
item_274,horno,word,furniture_rooms,produces,horno,oven,oven,,14
item_275,lavabo,word,furniture_rooms,produces,lavabo,sink,sink,,15
item_276,lavadora,word,furniture_rooms,produces,lavadora,,washing machine,,16
item_277,librero,word,furniture_rooms,produces,librero,,bookcase,,17
item_278,mesa,word,furniture_rooms,produces,mesa,table,table top,,18
item_279,mueble,word,furniture_rooms,produces,mueble,,piece of furniture,,19
item_280,patio1,word,furniture_rooms,produces,patio (outside),,patio,,20
item_281,puerta,word,furniture_rooms,produces,puerta,door,gate,,21
item_282,recamara,word,furniture_rooms,produces,recámara,bedroom,bedroom,,22
item_283,refrgrdr,word,furniture_rooms,produces,refrigerador,refrigerator,refrigerator,,23
item_284,regadera,word,furniture_rooms,produces,regadera/ducha,shower,watering can,,24
item_285,ropero,word,furniture_rooms,produces,ropero/closet,closet,closet,,25
item_286,sala,word,furniture_rooms,produces,sala,living room,living room,,26
item_287,secadora,word,furniture_rooms,produces,secadora,,tumble dryer,,27
item_288,silla,word,furniture_rooms,produces,silla,chair,chair,,28
item_289,sillon,word,furniture_rooms,produces,sillón,,lounge chair,,29
item_290,sofa,word,furniture_rooms,produces,sofá,couch,sofa,,30
item_291,televisn,word,furniture_rooms,produces,televisión,tv,television,,31
item_292,tina,word,furniture_rooms,produces,tina,bathtub,tub,,32
item_293,ventana,word,furniture_rooms,produces,ventana,window,window,,33
item_294,albrpisc,word,outside,produces,alberca/piscina,pool,pool,,1
item_295,arbol,word,outside,produces,árbol,tree,tree,,2
item_296,bandera,word,outside,produces,bandera,,flag,,3
item_297,cielo,word,outside,produces,cielo,sky,sky,,4
item_298,coldera,word,outside,produces,coladera,,drain,,5
item_299,columpio,word,outside,produces,columpio,swing (object),swing,,6
item_300,estrella,word,outside,produces,estrella,star,star,,7
item_301,flor,word,outside,produces,flor,flower,flower,,8
item_302,fuego,word,outside,produces,fuego,,fire,,9
item_303,hojas,word,outside,produces,hojas,,leaves,,10
item_304,lena,word,outside,produces,leña,,firewood,,11
item_305,lluvia,word,outside,produces,lluvia,rain,rain,,12
item_306,luna,word,outside,produces,luna,moon,moon,,13
item_307,maceta,word,outside,produces,maceta,,flower pot,,14
item_308,manguera,word,outside,produces,manguera,,hose,,15
item_309,muncniev,word,outside,produces,muñeco de nieve,,snowman,,16
item_310,nieve,word,outside,produces,nieve,snow,snow,,17
item_311,nube,word,outside,produces,nube,cloud,cloud,,18
item_312,pala,word,outside,produces,pala,,shovel,,19
item_313,palo,word,outside,produces,palo,,stick,,20
item_314,pasto,word,outside,produces,pasto,,grass,,21
item_315,piedra,word,outside,produces,piedra,rock (object),stone,,22
item_316,planta,word,outside,produces,planta,plant,plant,,23
item_317,reja,word,outside,produces,reja,,grill,,24
item_318,resbadla,word,outside,produces,resbaladilla,slide (object),slide,,25
item_319,sol,word,outside,produces,sol,sun,sun,,26
item_320,tanque,word,outside,produces,tanque,,tank,,27
item_321,techo,word,outside,produces,techo,roof,ceiling,,28
item_322,tierra,word,outside,produces,tierra,,earth,,29
item_323,timbre,word,outside,produces,timbre,,doorbell,,30
item_324,vientair,word,outside,produces,viento/aire,,wind,,31
item_325,banco2,word,places,produces,banco (places),,bank,,1
item_326,bosque,word,places,produces,bosque,,forest,,2
item_327,calle,word,places,produces,calle,,street,,3
item_328,campo,word,places,produces,campo,,field,,4
item_329,casa,word,places,produces,casa,,home,,5
item_330,cerro,word,places,produces,cerro,,hill,,6
item_331,cine,word,places,produces,cine,,movie theater,,7
item_332,circo,word,places,produces,circo,,circus,,8
item_333,escuela,word,places,produces,escuela,,school,,9
item_334,fabrica,word,places,produces,fábrica,,factory,,10
item_335,fiesta,word,places,produces,fiesta,,party,,11
item_336,hospitl,word,places,produces,hospital/clínica,,hospital,,12
item_337,iglstmpl,word,places,produces,iglesia/templo,,church,,13
item_338,jardin,word,places,produces,jardín,,garden,,14
item_339,oficina,word,places,produces,oficina,,office,,15
item_340,parque,word,places,produces,parque,,park,,16
item_341,patio2,word,places,produces,patio (places),,playground,,17
item_342,playa,word,places,produces,playa,,beach,,18
item_343,rancho,word,places,produces,rancho,,ranch,,19
item_344,rio,word,places,produces,río,,river,,20
item_345,tienmerc,word,places,produces,tienda/mercado,,market,,21
item_346,zoologic,word,places,produces,zoológico,,zoo,,22
item_347,abuela,word,people,produces,abuela*,grandma,grandmother,,1
item_348,abuelo,word,people,produces,abuelo*,grandpa,grandfather,,2
item_349,amiga,word,people,produces,amiga*,,female friend,,3
item_350,amigo,word,people,produces,amigo*,,male friend,,4
item_351,bebe,word,people,produces,bebé,baby,baby,,5
item_352,cura,word,people,produces,cura*,,cure,,6
item_353,doctor,word,people,produces,doctor,,doctor,,7
item_354,enfermer,word,people,produces,enfermera,,nurse,,8
item_355,familia,word,people,produces,familia,family,family,,9
item_356,hermana,word,people,produces,hermana*,sister,sister,,10
item_357,hermano,word,people,produces,hermano*,brother,brother,,11
item_358,madrina,word,people,produces,madrina*,godmother,godmother,,12
item_359,maestra,word,people,produces,maestra*,teacher,teacher,,13
item_360,mama,word,people,produces,mamá*,mommy,mommy,,14
item_361,nana,word,people,produces,nana*,babysitter,babysitter,,15
item_362,nina,word,people,produces,niña,girl,girl,,16
item_363,nino,word,people,produces,niño,boy,boy,,17
item_364,padrino,word,people,produces,padrino*,godfather,godfather,,18
item_365,papa,word,people,produces,papá*,daddy,daddy,,19
item_366,payaso,word,people,produces,payaso,,clown,,20
item_367,persona,word,people,produces,persona,person,person,,21
item_368,policia,word,people,produces,policía,police,police,,22
item_369,prima,word,people,produces,prima*,,female cousin,,23
item_370,primo,word,people,produces,primo*,,male cousin,,24
item_371,senor,word,people,produces,señor,man,man,,25
item_372,senora,word,people,produces,señora,woman,woman,,26
item_373,tia,word,people,produces,tía*,aunt,aunt,,27
item_374,tio,word,people,produces,tío*,uncle,uncle,,28
item_375,nombrnin,word,people,produces,(nombre del niño/a),child's own name,child's own name,,29
item_376,aver,word,games_routines,produces,a ver...,,let's see,,1
item_377,acerrin,word,games_routines,produces,acerrín,kid's song,sawdust (game),,2
item_378,adiosbye,word,games_routines,produces,adíos/byebye,bye,bye bye,,3
item_379,ahitevoy,word,games_routines,produces,ahí te voy,,I'm going there,,4
item_380,alagapat,word,games_routines,produces,al agua patos...,,ducks to water,,5
item_381,besitos,word,games_routines,produces,besitos,kiss,little kisses,,6
item_382,bravo,word,games_routines,produces,bravo,,brave,,7
item_383,buennoch,word,games_routines,produces,buenas noches,good night,good night,,8
item_384,buendias,word,games_routines,produces,buenos días,good morning,good day,,9
item_385,cosqlits,word,games_routines,produces,cosquillitas,tickle,tickles,,10
item_386,gracias,word,games_routines,produces,gracias,thank you,thank you,,11
item_387,hola,word,games_routines,produces,hola,hi,hi,,12
item_388,manosarb,word,games_routines,produces,manos arriba,hands up,hands up,,13
item_389,ojitos,word,games_routines,produces,ojitos,look at me,eyes,,14
item_390,okay,word,games_routines,produces,okay,,okay,,15
item_391,ponetata,word,games_routines,produces,pon pon tata,,Pon pon tata (song),,16
item_392,porfavor,word,games_routines,produces,por favor,please,please,,17
item_393,salud,word,games_routines,produces,salud,bless you,bless you,,18
item_394,shhh,word,games_routines,produces,shhh,shh,shhh,,19
item_395,siesta,word,games_routines,produces,siesta,,nap,,20
item_396,tevypagr,word,games_routines,produces,te voy a pegar...,,I'm going to hit you,,21
item_397,tengmant,word,games_routines,produces,tengo manita,have hands,I have a little hand (song),,22
item_398,tortlita,word,games_routines,produces,tortillitas,pattycake,Tortillitas for Mommy (song),,23
item_399,unodstrs,word,games_routines,produces,uno dos tres...,one two three,one two three,,24
item_400,vamonos,word,games_routines,produces,vámonos,,let's go,,25
item_401,abrir,word,action_words,produces,abrir,open (action),to open,,1
item_402,acabarse,word,action_words,produces,acabar,finish,to finish,,2
item_403,acompnar,word,action_words,produces,acompañar,,to join,,3
item_404,acostar,word,action_words,produces,acostar(se),,lay down,,4
item_405,agarrar,word,action_words,produces,agarrar,,to grab,,5
item_406,almorzar,word,action_words,produces,almorzar,,to launch,,6
item_407,amararse,word,action_words,produces,amarrar(se),,to tie up,,7
item_408,andar,word,action_words,produces,andar,,walk,,8
item_409,apagar,word,action_words,produces,apagar,turn off,to turn off,,9
item_410,apurar,word,action_words,produces,apurar(se),hurry,hurry,,10
item_411,arreglar,word,action_words,produces,arreglar(se),,to fix,,11
item_412,asustar,word,action_words,produces,asustar(se),,to frighten,,12
item_413,aventar,word,action_words,produces,aventar,throw,to blow,,13
item_414,ayudar,word,action_words,produces,ayudar,help,to help,,14
item_415,bailar,word,action_words,produces,bailar,dance,to dance,,15
item_416,bajarse,word,action_words,produces,bajar(se),,to come down,,16
item_417,barrer,word,action_words,produces,barrer,,to sweep,,17
item_418,besar,word,action_words,produces,besar,,to kiss,,18
item_419,brincar,word,action_words,produces,brincar,jump,to hop,,19
item_420,buscar,word,action_words,produces,buscar,,search for,,20
item_421,caber,word,action_words,produces,caber,,to fit,,21
item_422,caer,word,action_words,produces,caer(se),fall,to fall,,22
item_423,callarse,word,action_words,produces,callar(se),,shut up,,23
item_424,caminar,word,action_words,produces,caminar,walk,walk,,24
item_425,cantar,word,action_words,produces,cantar,sing,to sing,,25
item_426,cargar,word,action_words,produces,cargar,,to load,,26
item_427,cenar,word,action_words,produces,cenar,eat dinner,to have dinner,,27
item_428,cerrar,word,action_words,produces,cerrar,close,to close,,28
item_429,cocinar,word,action_words,produces,cocinar,,to cook,,29
item_430,comer,word,action_words,produces,comer(se),eat,to eat,,30
item_431,comprar,word,action_words,produces,comprar,,to purchase,,31
item_432,correr,word,action_words,produces,correr,run,run,,32
item_433,cortar,word,action_words,produces,cortar,,to cut,,33
item_434,dar,word,action_words,produces,dar,give,to give,,34
item_435,decir,word,action_words,produces,decir,say,to say,,35
item_436,desyunar,word,action_words,produces,desayunar,eat breakfast,to have breakfast,,36
item_437,dibujar,word,action_words,produces,dibujar,draw,to draw,,37
item_438,doler,word,action_words,produces,doler,hurt (action),hurt,,38
item_439,dormir,word,action_words,produces,dormir(se),sleep,to sleep,,39
item_440,empujar,word,action_words,produces,empujar,push,push,,40
item_441,encontra,word,action_words,produces,encontrar,,to find,,41
item_442,ensenar,word,action_words,produces,enseñar,show,to teach,,42
item_443,entrar,word,action_words,produces,entrar,,to enter,,43
item_444,equvcar,word,action_words,produces,equivocar(se),,to make a mistake,,44
item_445,esconder,word,action_words,produces,esconder(se),,to hide,,45
item_446,escribir,word,action_words,produces,escribir,write,to write,,46
item_447,escuchar,word,action_words,produces,escuchar,,to listen,,47
item_448,esperar,word,action_words,produces,esperar(se),wait,to expect,,48
item_449,ganar,word,action_words,produces,ganar,,to win,,49
item_450,gritar,word,action_words,produces,gritar,,shout,,50
