itemID,item,item_type,category,choices,definition,uni_lemma,gloss,complexity_category
item_1,respnam,first_signs,first_signs,yes; no,¿Responde o voltea cuando se la llama por su nombre?,,,
item_2,respno,first_signs,first_signs,yes; no,¿Deja de hacer lo que está haciendo (aunque sea por un momento) cuando se le dice “no”?,,,
item_3,reactmd,first_signs,first_signs,yes; no,¿Busca a su alrededor cuando escucha que alguien llaman a su papá o su mamá?,,,
item_4,abraboca,phrases,phrases,understands,abre la boca,,,
item_5,adios,phrases,phrases,understands,adiós,,,
item_6,dormhacr,phrases,phrases,understands,a dormir/hacer la meme,,,
item_7,aviental,phrases,phrases,understands,aviéntala/lo,,,
item_8,bravo,phrases,phrases,understands,bravo,,,
item_9,cuidfras,phrases,phrases,understands,cuidado,,,
item_10,damedale,phrases,phrases,understands,dame/dale,,,
item_11,dndeguag,phrases,phrases,understands,¿dónde está el guaguá?,,,
item_12,estquiet,phrases,phrases,understands,estate quieto,,,
item_13,hazmojit,phrases,phrases,understands,hazme ojitos,,,
item_14,mira,phrases,phrases,understands,mira,,,
item_15,muybien,phrases,phrases,understands,muy bien,,,
item_16,nophrase,phrases,phrases,understands,no,,,
item_17,nomuevas,phrases,phrases,understands,no te muevas,,,
item_18,notoques,phrases,phrases,understands,no toques eso,,,
item_19,parate,phrases,phrases,understands,párate,,,
item_20,quileche,phrases,phrases,understands,¿quieres leche?,,,
item_21,quiermas,phrases,phrases,understands,¿quieres más?,,,
item_22,sacalo,phrases,phrases,understands,sácalo,,,
item_23,sientate,phrases,phrases,understands,siéntate,,,
item_24,silencio,phrases,phrases,understands,silencio,,,
item_25,cambpanl,phrases,phrases,understands,¿te cambio el pañal?,,,
item_26,tienhamb,phrases,phrases,understands,¿tienes hambre?,,,
item_27,traemeso,phrases,phrases,understands,tráeme eso,,,
item_28,vamanos,phrases,phrases,understands,vámanos,,,
item_29,ven,phrases,phrases,understands,ven,,,
item_30,yafrase,phrases,phrases,understands,ya,,,
item_31,yllegopm,phrases,phrases,understands,ya llegó papá/mamá,,,
item_32,imitate,starting_to_talk,starting_to_talk,not yet; sometimes; often,"Algunos niños repiten las cosas que eschuchan. A veces repiten parte de una frase, por ejemplo, si oyen “el coche de papá” dicen “papá” o “coche”. Otras veces pueden repetir una palabra nueva para ellos. ¿Con qué frecuencia cree usted que su hijo/a imite palabras o partes de frases?",,,
item_33,label,starting_to_talk,starting_to_talk,not yet; sometimes; often,"Algunos niños nombran las cosas que ven. Se pasean por la casa y al ver objetos o personas, dicen sus nombres. ¿Con qué frecuencia cree usted que su hijo/a haga esto?",,,
item_34,am,word,sounds,understands; produces,¡am!,yum yum,yum yum,
item_35,ay,word,sounds,understands; produces,¡ay!,ouch,ouch,
item_36,beemee,word,sounds,understands; produces,bee/mee,baa baa,baa baa,
item_37,cuacua,word,sounds,understands; produces,cuacuá,quack quack,quack quack,
item_38,guagua,word,sounds,understands; produces,guaguá,woof woof,woof woof,
item_39,miau,word,sounds,understands; produces,miau,meow,meow,
item_40,muu,word,sounds,understands; produces,muu,moo,moo,
item_41,piopio,word,sounds,understands; produces,pío pío,tweet tweet,tweet tweet,
item_42,pipi,word,sounds,understands; produces,pipí (coche),honk honk,honk honk,
item_43,pum,word,sounds,understands; produces,¡pum!,bang,bang,
item_44,qiqiriq,word,sounds,understands; produces,quiquiriquí,cockadoodledoo,cockadoodledoo,
item_45,tutu,word,sounds,understands; produces,tutú,choo choo,choo choo,
item_46,abeja,word,animals,understands; produces,abeja,bee,bee,
item_47,animal,word,animals,understands; produces,animal,animal,animal,
item_48,arana,word,animals,understands; produces,araña,spider,spider,
item_49,ardilla,word,animals,understands; produces,ardilla,squirrel,squirrel,
item_50,borrego,word,animals,understands; produces,borrego,lamb,lamb,
item_51,buho,word,animals,understands; produces,búho,owl,owl,
item_52,burro,word,animals,understands; produces,burro,donkey,donkey,
item_53,caballo,word,animals,understands; produces,caballo,horse,horse,
item_54,cabra,word,animals,understands; produces,cabra,goat,goat,
item_55,conejo,word,animals,understands; produces,conejo,bunny,rabbit,
item_56,elefant,word,animals,understands; produces,elefante,elephant,elephant,
item_57,gallina,word,animals,understands; produces,gallina,hen,hen,
item_58,gato,word,animals,understands; produces,gato,cat,cat,
