title,percentile,age,raw_score,raw_score_boy,raw_score_girl
Total Produced,65,24,380,336,423
Total Produced,60,24,351,311,394
Total Produced,55,24,324,279,372
Total Produced,50,24,297,252,346
Total Produced,45,24,268,225,314
Total Produced,40,24,239,199,284
Total Produced,35,24,210,176,253
Total Produced,30,24,180,151,220
Total Produced,25,24,156,132,185
Total Produced,20,24,131,108,151
Total Produced,15,24,104,87,120
Total Produced,10,24,77,63,92
Total Produced,5,24,45,35,58
Total Produced,99,25,665,645,662
Total Produced,95,25,612,604,629
Total Produced,90,25,572,550,583
Total Produced,85,25,541,513,558
Total Produced,80,25,510,477,533
Total Produced,75,25,484,439,512
Total Produced,70,25,453,407,488
Total Produced,65,25,426,381,468
Total Produced,60,25,397,359,440
Total Produced,55,25,371,327,420
Total Produced,50,25,344,299,395
Total Produced,45,25,315,269,363
Total Produced,40,25,285,240,331
Total Produced,35,25,252,215,299
Total Produced,30,25,218,185,264
Total Produced,25,25,191,163,223
Total Produced,20,25,161,134,185
Total Produced,15,25,130,109,147
Total Produced,10,25,98,78,115
Total Produced,5,25,56,44,74
Total Produced,99,26,670,655,668
Total Produced,95,26,629,623,642
Total Produced,90,26,597,578,604
Total Produced,85,26,571,547,584
Total Produced,80,26,545,515,564
Total Produced,75,26,521,478,546
Total Produced,70,26,493,449,525
Total Produced,65,26,468,424,509
Total Produced,60,26,441,406,482
Total Produced,55,26,418,376,465
Total Produced,50,26,391,347,442
Total Produced,45,26,363,314,411
Total Produced,40,26,332,285,379
Total Produced,35,26,297,258,346
Total Produced,30,26,261,224,311
Total Produced,25,26,231,199,265
Total Produced,20,26,195,164,222
Total Produced,15,26,161,134,179
Total Produced,10,26,122,96,143
Total Produced,5,26,70,55,94
Total Produced,99,27,674,662,672
Total Produced,95,27,642,637,652
Total Produced,90,27,616,601,621
Total Produced,85,27,595,575,605
Total Produced,80,27,573,547,590
Total Produced,75,27,553,513,575
Total Produced,70,27,529,487,558
Total Produced,65,27,506,465,543
Total Produced,60,27,482,450,520
Total Produced,55,27,461,423,505
Total Produced,50,27,437,395,485
Total Produced,45,27,411,361,457
Total Produced,40,27,380,332,425
Total Produced,35,27,343,304,392
Total Produced,30,27,306,267,359
Total Produced,25,27,275,238,310
Total Produced,20,27,233,199,264
Total Produced,15,27,195,164,214
Total Produced,10,27,151,118,176
Total Produced,5,27,87,69,118
Total Produced,99,28,676,667,675
Total Produced,95,28,651,649,659
Total Produced,90,28,632,619,635
Total Produced,85,28,615,599,623
Total Produced,80,28,597,575,610
Total Produced,75,28,580,544,599
Total Produced,70,28,559,521,585
Total Produced,65,28,540,502,573
Total Produced,60,28,518,491,552
Total Produced,55,28,500,467,540
Total Produced,50,28,478,441,523
Total Produced,45,28,455,407,498
Total Produced,40,28,426,379,469
Total Produced,35,28,390,352,437
Total Produced,30,28,353,312,406
Total Produced,25,28,320,281,356
Total Produced,20,28,275,238,308
Total Produced,15,28,234,198,254
Total Produced,10,28,184,143,213
Total Produced,5,28,107,86,147
Total Produced,99,29,678,671,677
Total Produced,95,29,659,657,665
Total Produced,90,29,644,634,645
Total Produced,85,29,631,617,636
Total Produced,80,29,616,598,627
Total Produced,75,29,602,570,618
Total Produced,70,29,585,551,606
Total Produced,65,29,568,535,597
Total Produced,60,29,550,527,579
Total Produced,55,29,535,506,570
Total Produced,50,29,516,483,555
Total Produced,45,29,496,450,534
Total Produced,40,29,469,425,508
Total Produced,35,29,435,399,479
Total Produced,30,29,399,358,451
Total Produced,25,29,367,326,401
Total Produced,20,29,318,280,352
Total Produced,15,29,277,235,296
Total Produced,10,29,222,173,254
Total Produced,5,29,130,107,181
Total Produced,99,30,679,673,678
Total Produced,95,30,665,663,669
Total Produced,90,30,653,645,654
Total Produced,85,30,643,632,647
Total Produced,80,30,631,616,640
Total Produced,75,30,620,592,633
Total Produced,70,30,606,576,624
Total Produced,65,30,592,563,616
Total Produced,60,30,576,558,601
Total Produced,55,30,564,541,594
Total Produced,50,30,548,520,582
Total Produced,45,30,532,490,564
Total Produced,40,30,508,467,541
Total Produced,35,30,476,444,516
Total Produced,30,30,443,404,491
Total Produced,25,30,412,371,444
Total Produced,20,30,363,324,397
Total Produced,15,30,321,276,339
Total Produced,10,30,263,205,298
Total Produced,5,30,158,131,220
Total Produced,0,30,0,0,0
Total Produced,0,29,0,0,0
Total Produced,0,28,0,0,0
Total Produced,0,27,0,0,0
Total Produced,0,26,0,0,0
Total Produced,0,25,0,0,0
Total Produced,0,24,0,0,0
Total Produced,0,23,0,0,0
Total Produced,0,22,0,0,0
Total Produced,0,21,0,0,0
Total Produced,0,20,0,0,0
Total Produced,0,19,0,0,0
Total Produced,0,18,0,0,0
Total Produced,0,17,0,0,0
Total Produced,0,16,0,0,0
Complexity,99,16,14,12,12
Complexity,95,16,4,4,4
Complexity,90,16,1,1,1
Complexity,85,16,0,0,0
Complexity,80,16,0,0,0
Complexity,75,16,0,0,0
Complexity,70,16,0,0,0
Complexity,65,16,0,0,0
Complexity,60,16,0,0,0
Complexity,55,16,0,0,0
Complexity,50,16,0,0,0
Complexity,45,16,0,0,0
Complexity,40,16,0,0,0
Complexity,35,16,0,0,0
Complexity,30,16,0,0,0
Complexity,25,16,0,0,0
Complexity,20,16,0,0,0
Complexity,15,16,0,0,0
Complexity,10,16,0,0,0
Complexity,5,16,0,0,0
Complexity,99,17,18,15,15
Complexity,95,17,5,5,6
Complexity,90,17,1,1,1
Complexity,85,17,0,0,1
Complexity,80,17,0,0,1
Complexity,75,17,0,0,0
Complexity,70,17,0,0,0
Complexity,65,17,0,0,0
Complexity,60,17,0,0,0
Complexity,55,17,0,0,0
Complexity,50,17,0,0,0
Complexity,45,17,0,0,0
Complexity,40,17,0,0,0
Complexity,35,17,0,0,0
Complexity,30,17,0,0,0
Complexity,25,17,0,0,0
Complexity,20,17,0,0,0
Complexity,15,17,0,0,0
Complexity,10,17,0,0,0
Complexity,5,17,0,0,0
Complexity,99,18,21,18,18
Complexity,95,18,8,8,9
Complexity,90,18,2,2,2
Complexity,85,18,1,0,1
Complexity,80,18,0,0,1
Complexity,75,18,0,0,0
Complexity,70,18,0,0,0
Complexity,65,18,0,0,0
Complexity,60,18,0,0,0
Complexity,55,18,0,0,0
Complexity,50,18,0,0,0
Complexity,45,18,0,0,0
Complexity,40,18,0,0,0
Complexity,35,18,0,0,0
Complexity,30,18,0,0,0
Complexity,25,18,0,0,0
Complexity,20,18,0,0,0
Complexity,15,18,0,0,0
Complexity,10,18,0,0,0
Complexity,5,18,0,0,0
Complexity,99,19,24,22,22
Complexity,95,19,11,11,12
Complexity,90,19,3,3,4
Complexity,85,19,1,1,3
Complexity,80,19,1,0,2
Complexity,75,19,0,0,1
Complexity,70,19,0,0,0
Complexity,65,19,0,0,0
Complexity,60,19,0,0,0
Complexity,55,19,0,0,0
Complexity,50,19,0,0,0
Complexity,45,19,0,0,0
Complexity,40,19,0,0,0
Complexity,35,19,0,0,0
Complexity,30,19,0,0,0
Complexity,25,19,0,0,0
Complexity,20,19,0,0,0
Complexity,15,19,0,0,0
Complexity,10,19,0,0,0
Complexity,5,19,0,0,0
Complexity,99,20,27,25,26
Complexity,95,20,15,14,17
Complexity,90,20,5,4,6
Complexity,85,20,2,1,5
Complexity,80,20,1,1,3
Complexity,75,20,1,1,2
Complexity,70,20,1,0,1
Complexity,65,20,0,0,1
Complexity,60,20,0,0,0
Complexity,55,20,0,0,0
Complexity,50,20,0,0,0
Complexity,45,20,0,0,0
Complexity,40,20,0,0,0
Complexity,35,20,0,0,0
Complexity,30,20,0,0,0
Complexity,25,20,0,0,0
Complexity,20,20,0,0,0
Complexity,15,20,0,0,0
Complexity,10,20,0,0,0
Complexity,5,20,0,0,0
Complexity,99,21,30,28,29
Complexity,95,21,20,18,21
Complexity,90,21,8,7,10
Complexity,85,21,4,3,8
Complexity,80,21,3,1,5
Complexity,75,21,1,1,3
Complexity,70,21,1,1,1
Complexity,65,21,1,1,1
Complexity,60,21,1,0,1
Complexity,55,21,0,0,1
Complexity,50,21,0,0,0
Complexity,45,21,0,0,0
Complexity,40,21,0,0,0
Complexity,35,21,0,0,0
Complexity,30,21,0,0,0
Complexity,25,21,0,0,0
Complexity,20,21,0,0,0
Complexity,15,21,0,0,0
Complexity,10,21,0,0,0
Complexity,5,21,0,0,0
Complexity,99,22,32,31,31
Complexity,95,22,24,22,26
Complexity,90,22,13,10,16
Complexity,85,22,6,5,12
Complexity,80,22,5,2,9
Complexity,75,22,3,2,5
Complexity,70,22,2,2,3
Complexity,65,22,2,1,2
Complexity,60,22,1,1,2
Complexity,55,22,1,0,1
Complexity,50,22,1,0,1
Complexity,45,22,0,0,1
Complexity,40,22,0,0,1
Complexity,35,22,0,0,0
Complexity,30,22,0,0,0
Complexity,25,22,0,0,0
Complexity,20,22,0,0,0
Complexity,15,22,0,0,0
Complexity,10,22,0,0,0
Complexity,5,22,0,0,0
Complexity,99,23,34,33,33
Complexity,95,23,28,26,29
Complexity,90,23,18,14,22
Complexity,85,23,11,8,17
Complexity,80,23,8,5,14
Complexity,75,23,5,4,9
Complexity,70,23,4,3,6
Complexity,65,23,3,2,5
Complexity,60,23,3,2,4
Complexity,55,23,2,1,2
Complexity,50,23,1,1,2
Complexity,45,23,1,1,2
Complexity,40,23,1,0,1
Complexity,35,23,0,0,1
Complexity,30,23,0,0,0
Complexity,25,23,0,0,0
Complexity,20,23,0,0,0
Complexity,15,23,0,0,0
Complexity,10,23,0,0,0
Complexity,5,23,0,0,0
Complexity,99,24,35,34,35
Complexity,95,24,31,29,32
Complexity,90,24,24,19,27
Complexity,85,24,17,13,23
Complexity,80,24,13,8,19
Complexity,75,24,9,7,15
Complexity,70,24,8,5,10
Complexity,65,24,6,4,8
Complexity,60,24,5,3,7
Complexity,55,24,4,2,5
Complexity,50,24,2,2,4
Complexity,45,24,2,1,3
Complexity,40,24,1,1,2
Complexity,35,24,1,0,1
Complexity,30,24,1,0,1
Complexity,25,24,0,0,1
Complexity,20,24,0,0,0
Complexity,15,24,0,0,0
Complexity,10,24,0,0,0
Complexity,5,24,0,0,0
Complexity,99,25,36,35,36
Complexity,95,25,34,31,34
Complexity,90,25,29,24,31
Complexity,85,25,23,19,28
Complexity,80,25,19,14,25
Complexity,75,25,15,11,21
Complexity,70,25,13,9,16
Complexity,65,25,11,8,14
Complexity,60,25,9,6,12
Complexity,55,25,7,4,9
Complexity,50,25,5,3,7
Complexity,45,25,4,2,6
Complexity,40,25,3,2,5
Complexity,35,25,2,1,3
Complexity,30,25,1,1,2
Complexity,25,25,1,0,1
Complexity,20,25,0,0,1
Complexity,15,25,0,0,0
Complexity,10,25,0,0,0
Complexity,5,25,0,0,0
Complexity,99,26,36,36,36
Complexity,95,26,35,33,35
Complexity,90,26,32,28,34
Complexity,85,26,28,25,32
Complexity,80,26,26,20,30
Complexity,75,26,22,17,27
Complexity,70,26,19,15,23
Complexity,65,26,17,12,20
Complexity,60,26,15,10,18
Complexity,55,26,11,7,14
Complexity,50,26,9,6,13
Complexity,45,26,7,4,11
Complexity,40,26,5,3,9
Complexity,35,26,4,2,6
Complexity,30,26,2,1,4
Complexity,25,26,2,1,3
Complexity,20,26,1,0,1
Complexity,15,26,0,0,1
Complexity,10,26,0,0,0
Complexity,5,26,0,0,0
Complexity,99,27,37,37,37
Complexity,95,27,36,35,36
Complexity,90,27,35,31,36
Complexity,85,27,32,30,34
Complexity,80,27,30,26,33
Complexity,75,27,28,24,31
Complexity,70,27,26,21,29
Complexity,65,27,23,18,27
Complexity,60,27,21,16,25
Complexity,55,27,18,12,21
Complexity,50,27,15,10,19
Complexity,45,27,12,7,17
Complexity,40,27,9,6,15
Complexity,35,27,7,3,11
Complexity,30,27,4,3,8
Complexity,25,27,3,1,5
Complexity,20,27,1,1,2
Complexity,15,27,1,0,1
Complexity,10,27,0,0,0
Complexity,5,27,0,0,0
Complexity,99,28,37,37,37
Complexity,95,28,37,36,37
Complexity,90,28,36,34,37
Complexity,85,28,35,33,36
Complexity,80,28,34,31,35
Complexity,75,28,32,29,34
Complexity,70,28,31,27,33
Complexity,65,28,29,24,31
Complexity,60,28,27,22,30
Complexity,55,28,24,18,28
Complexity,50,28,22,16,26
Complexity,45,28,19,13,24
Complexity,40,28,15,10,22
Complexity,35,28,12,6,18
Complexity,30,28,8,5,14
Complexity,25,28,5,2,9
Complexity,20,28,3,1,4
Complexity,15,28,1,0,2
Complexity,10,28,0,0,1
Complexity,5,28,0,0,0
Complexity,99,29,37,37,37
Complexity,95,29,37,37,37
Complexity,90,29,37,35,37
Complexity,85,29,36,35,37
Complexity,80,29,36,34,36
Complexity,75,29,35,33,36
Complexity,70,29,34,31,36
Complexity,65,29,33,29,34
Complexity,60,29,31,28,34
Complexity,55,29,30,25,32
Complexity,50,29,28,23,31
Complexity,45,29,26,19,30
Complexity,40,29,22,15,29
Complexity,35,29,18,10,25
Complexity,30,29,13,8,21
Complexity,25,29,9,3,15
Complexity,20,29,4,2,7
Complexity,15,29,1,1,4
Complexity,10,29,0,0,1
Complexity,5,29,0,0,0
Complexity,99,30,37,37,37
Complexity,95,30,37,37,37
Complexity,90,30,37,36,37
Complexity,85,30,37,36,37
Complexity,80,30,37,36,37
Complexity,75,30,36,35,37
Complexity,70,30,36,34,37
Complexity,65,30,35,33,36
Complexity,60,30,34,33,36
Complexity,55,30,33,30,35
Complexity,50,30,33,29,34
Complexity,45,30,31,26,33
Complexity,40,30,28,22,33
Complexity,35,30,25,16,31
Complexity,30,30,19,13,28
Complexity,25,30,14,5,22
Complexity,20,30,7,3,12
Complexity,15,30,2,1,7
Complexity,10,30,0,0,2
Complexity,5,30,0,0,0
Complexity,0,30,0,0,0
Complexity,0,29,0,0,0
Complexity,0,28,0,0,0
Complexity,0,27,0,0,0
Complexity,0,26,0,0,0
Complexity,0,25,0,0,0
Complexity,0,24,0,0,0
Complexity,0,23,0,0,0
Complexity,0,22,0,0,0
Complexity,0,21,0,0,0
Complexity,0,20,0,0,0
Complexity,0,19,0,0,0
Complexity,0,18,0,0,0
Complexity,0,17,0,0,0
Complexity,0,16,0,0,0
Combining,999,16,0,22,35
Combining,999,17,0,33,50
Combining,999,18,0,44,66
Combining,999,19,0,54,78
Combining,999,20,0,68,70
Combining,999,21,0,73,73
Combining,999,22,0,73,86
Combining,999,23,0,96,85
Combining,999,24,0,86,86
Combining,999,25,0,88,98
Combining,999,26,0,89,96
Combining,999,27,0,92,96
Combining,999,28,0,95,98
Combining,999,29,0,100,97
Combining,999,30,0,100,100
