title,percentile,age,raw_score,raw_score_boy,raw_score_girl
Total Produced,99,16,372,346,362
Total Produced,95,16,253,217,288
Total Produced,90,16,179,157,220
Total Produced,85,16,145,125,176
Total Produced,80,16,124,108,141
Total Produced,75,16,108,101,122
Total Produced,70,16,94,84,105
Total Produced,65,16,83,71,93
Total Produced,60,16,72,56,85
Total Produced,55,16,61,45,72
Total Produced,50,16,52,39,62
Total Produced,45,16,43,35,53
Total Produced,40,16,37,29,47
Total Produced,35,16,32,24,41
Total Produced,30,16,26,21,33
Total Produced,25,16,22,19,28
Total Produced,20,16,19,15,23
Total Produced,15,16,14,13,18
Total Produced,10,16,10,10,12
Total Produced,5,16,7,5,7
Total Produced,99,17,436,399,425
Total Produced,95,17,303,266,340
Total Produced,90,17,221,195,263
Total Produced,85,17,182,157,215
Total Produced,80,17,156,135,176
Total Produced,75,17,136,126,154
Total Produced,70,17,119,106,133
Total Produced,65,17,105,89,119
Total Produced,60,17,92,72,108
Total Produced,55,17,78,59,93
Total Produced,50,17,67,51,81
Total Produced,45,17,55,46,69
Total Produced,40,17,48,38,61
Total Produced,35,17,41,32,53
Total Produced,30,17,34,28,43
Total Produced,25,17,29,24,36
Total Produced,20,17,25,20,29
Total Produced,15,17,19,16,23
Total Produced,10,17,13,13,16
Total Produced,5,17,9,6,9
Total Produced,99,18,494,450,482
Total Produced,95,18,354,318,393
Total Produced,90,18,268,238,310
Total Produced,85,18,224,195,259
Total Produced,80,18,194,168,217
Total Produced,75,18,170,155,191
Total Produced,70,18,149,131,167
Total Produced,65,18,132,112,151
Total Produced,60,18,116,92,136
Total Produced,55,18,99,76,118
Total Produced,50,18,86,66,104
Total Produced,45,18,72,59,89
Total Produced,40,18,62,49,79
Total Produced,35,18,54,42,69
Total Produced,30,18,44,36,55
Total Produced,25,18,37,32,47
Total Produced,20,18,32,26,38
Total Produced,15,18,24,21,30
Total Produced,10,18,17,16,21
Total Produced,5,18,11,8,12
Total Produced,99,19,543,496,531
Total Produced,95,19,404,371,443
Total Produced,90,19,318,285,357
Total Produced,85,19,270,238,306
Total Produced,80,19,236,206,262
Total Produced,75,19,209,188,234
Total Produced,70,19,184,161,207
Total Produced,65,19,164,139,188
Total Produced,60,19,145,117,170
Total Produced,55,19,125,97,149
Total Produced,50,19,109,85,132
Total Produced,45,19,92,76,114
Total Produced,40,19,80,63,101
Total Produced,35,19,69,54,88
Total Produced,30,19,57,47,71
Total Produced,25,19,48,41,60
Total Produced,20,19,41,33,48
Total Produced,15,19,31,27,38
Total Produced,10,19,22,20,27
Total Produced,5,19,14,11,16
Total Produced,99,20,581,535,571
Total Produced,95,20,452,423,489
Total Produced,90,20,368,335,404
Total Produced,85,20,319,284,355
Total Produced,80,20,282,249,310
Total Produced,75,20,252,225,281
Total Produced,70,20,224,195,251
Total Produced,65,20,201,171,230
Total Produced,60,20,178,146,209
Total Produced,55,20,156,124,186
Total Produced,50,20,137,108,166
Total Produced,45,20,117,96,144
Total Produced,40,20,102,81,128
Total Produced,35,20,88,70,111
Total Produced,30,20,73,60,91
Total Produced,25,20,62,52,76
Total Produced,20,20,53,42,62
Total Produced,15,20,40,34,48
Total Produced,10,20,29,25,35
Total Produced,5,20,18,13,20
Total Produced,99,21,610,569,602
Total Produced,95,21,496,471,529
Total Produced,90,21,418,384,449
Total Produced,85,21,369,333,403
Total Produced,80,21,331,294,360
Total Produced,75,21,299,266,330
Total Produced,70,21,268,234,299
Total Produced,65,21,242,207,277
Total Produced,60,21,217,181,252
Total Produced,55,21,192,155,228
Total Produced,50,21,171,137,205
Total Produced,45,21,147,121,180
Total Produced,40,21,128,103,160
Total Produced,35,21,111,89,140
Total Produced,30,21,92,76,116
Total Produced,25,21,79,67,97
Total Produced,20,21,67,54,78
Total Produced,15,21,51,44,61
Total Produced,10,21,37,32,45
Total Produced,5,21,23,17,27
Total Produced,99,22,632,595,625
Total Produced,95,22,533,513,562
Total Produced,90,22,464,432,489
Total Produced,85,22,418,382,448
Total Produced,80,22,380,342,408
Total Produced,75,22,347,309,380
Total Produced,70,22,314,275,349
Total Produced,65,22,287,248,326
Total Produced,60,22,259,221,298
Total Produced,55,22,233,192,274
Total Produced,50,22,209,171,249
Total Produced,45,22,183,151,221
Total Produced,40,22,160,130,197
Total Produced,35,22,139,113,173
Total Produced,30,22,117,97,146
Total Produced,25,22,100,84,121
Total Produced,20,22,84,68,98
Total Produced,15,22,66,55,77
Total Produced,10,22,48,40,57
Total Produced,5,22,29,22,35
Total Produced,99,23,647,617,641
Total Produced,95,23,565,550,590
Total Produced,90,23,506,476,526
Total Produced,85,23,464,429,490
Total Produced,80,23,427,389,455
Total Produced,75,23,395,354,427
Total Produced,70,23,362,319,398
Total Produced,65,23,333,291,375
Total Produced,60,23,304,265,346
Total Produced,55,23,277,234,322
Total Produced,50,23,251,209,296
Total Produced,45,23,223,186,266
Total Produced,40,23,198,162,238
Total Produced,35,23,172,142,211
Total Produced,30,23,146,122,181
Total Produced,25,23,126,106,151
Total Produced,20,23,105,86,123
Total Produced,15,23,83,70,96
Total Produced,10,23,61,50,73
Total Produced,5,23,36,28,45
Total Produced,99,24,658,633,653
Total Produced,95,24,591,580,612
Total Produced,90,24,542,516,557
Total Produced,85,24,505,473,526
Total Produced,80,24,471,435,496
Total Produced,75,24,441,397,472
Total Produced,70,24,409,364,445
