aoa,language,measure,lexical_classes,words
19.945057096656218,English,produces,nouns,airplane
25.933152935311583,English,produces,function_words,all
18.81211292707376,English,produces,adjectives,all gone
23.83003060359967,English,produces,nouns,animal
27.26098475273726,English,produces,function_words,another
18.08790925878088,English,produces,nouns,apple
21.518484667395093,English,produces,nouns,arm
24.156369712282103,English,produces,adjectives,asleep
24.996618568535755,English,produces,other,aunt
26.132430666635567,English,produces,function_words,away
16.57348641132658,English,produces,other,baa baa
16.036001655876344,English,produces,other,baby
30.169566549625525,English,produces,other,babysitter
24.440929703196602,English,produces,other,babysitter's name
25.588274313665828,English,produces,function_words,back
24.319255244651938,English,produces,adjectives,bad
14.128892177221102,English,produces,nouns,ball
17.5612980434313,English,produces,nouns,balloon
16.789367193241546,English,produces,nouns,banana
17.938709576997226,English,produces,other,bath
23.06083717686412,English,produces,nouns,bathroom
21.664762407846123,English,produces,nouns,bathtub
25.92631939944609,English,produces,"nouns, other",beach
28.374408218236567,English,produces,nouns,beads
19.220548020343422,English,produces,nouns,bear
20.443007264485413,English,produces,nouns,bed
24.656537745428746,English,produces,nouns,bedroom
20.94844648810881,English,produces,nouns,bee
20.226188332960547,English,produces,nouns,belly button
23.021088622006925,English,produces,nouns,bib
21.395401034976913,English,produces,nouns,bicycle
22.015977632750023,English,produces,adjectives,big
17.455818973982943,English,produces,nouns,bird
21.728868258596957,English,produces,verbs,bite
20.271361713841095,English,produces,nouns,blanket
21.139943757507705,English,produces,nouns,block
23.385170634996083,English,produces,verbs,blow
22.560103605415243,English,produces,adjectives,blue
16.569088870209963,English,produces,nouns,book
22.385282319331697,English,produces,nouns,boots
18.34130377943689,English,produces,nouns,bottle
22.19626676326619,English,produces,nouns,bowl
21.983051341222577,English,produces,nouns,box
22.95519268274865,English,produces,other,boy
21.319856597584934,English,produces,nouns,bread
24.163660227137505,English,produces,verbs,break
23.62085341261171,English,produces,other,breakfast
25.992264196234377,English,produces,verbs,bring
22.984679453053417,English,produces,adjectives,broken
23.238058616418243,English,produces,nouns,broom
26.580722847274814,English,produces,other,brother
21.473045929036253,English,produces,nouns,brush
18.287122785804616,English,produces,nouns,bubbles
21.111058028570476,English,produces,nouns,bug
25.23983845531983,English,produces,verbs,bump
20.347053255764276,English,produces,nouns,bunny
20.796942803157194,English,produces,nouns,bus
23.894083193497632,English,produces,nouns,butter
22.605107127129557,English,produces,nouns,butterfly
21.94152879922924,English,produces,nouns,button
13.162862681728468,English,produces,other,bye
21.81084185353303,English,produces,nouns,cake
22.150229852246845,English,produces,nouns,candy
17.628663575831165,English,produces,nouns,car
25.315308741736214,English,produces,adjectives,careful
23.321273284176883,English,produces,nouns,carrots
17.66768391741107,English,produces,nouns,cat
21.75579425460477,English,produces,nouns,cereal
20.635938540902576,English,produces,nouns,chair
23.00716895013353,English,produces,nouns,cheek
23.068354001033757,English,produces,nouns,cheerios
18.090844120668045,English,produces,nouns,cheese
22.462393545369466,English,produces,nouns,chicken (animal)
22.310515102264038,English,produces,nouns,chicken (food)
30.751653953877465,English,produces,other,child
19.68797850777993,English,produces,other,child's own name
19.28856201357554,English,produces,other,choo choo
26.352716897359034,English,produces,"nouns, other",church*
23.572594221881378,English,produces,verbs,clean (action)
23.23706236963285,English,produces,adjectives,clean (description)
22.49508214609616,English,produces,nouns,clock
23.848909449805316,English,produces,verbs,close
22.553631145573956,English,produces,nouns,coat
24.288062485782852,English,produces,other,cockadoodledoo
24.192355614331486,English,produces,nouns,coffee
20.82421608807785,English,produces,adjectives,cold
24.37981712102665,English,produces,nouns,comb
18.233429884479776,English,produces,nouns,cookie
23.845198549358606,English,produces,nouns,couch
19.86022817681121,English,produces,nouns,cow
19.064502508334005,English,produces,nouns,cracker
24.946140601177426,English,produces,nouns,crib
22.7057876219358,English,produces,verbs,cry
19.449937419503495,English,produces,nouns,cup
26.35000332275868,English,produces,adjectives,cute
11.009743543462907,English,produces,other,daddy*
22.996413102185446,English,produces,verbs,dance
25.10572095557262,English,produces,adjectives,dark
27.628419068711754,English,produces,other,day
25.55543254902818,English,produces,nouns,deer
19.33149408881273,English,produces,nouns,diaper
23.825021322252528,English,produces,other,dinner
21.831728735348637,English,produces,adjectives,dirty
26.121042359649046,English,produces,nouns,dish
14.734720313191687,English,produces,nouns,dog
21.701270483629564,English,produces,nouns,doll
25.39564727951007,English,produces,"function_words, other",don't
27.22442804780056,English,produces,nouns,donkey
19.873733733224018,English,produces,nouns,door
19.65454223976105,English,produces,function_words,down
