age,language,percentile,pred,measure
8,English,10,0.0055077065,comprehension
9,English,10,0.0100064779,comprehension
10,English,10,0.0206891273,comprehension
11,English,10,0.0375556549,comprehension
12,English,10,0.0606060606,comprehension
13,English,10,0.0898403444,comprehension
14,English,10,0.1252585064,comprehension
15,English,10,0.1668605465,comprehension
16,English,10,0.2146464646,comprehension
17,English,10,0.268616261,comprehension
18,English,10,0.3287699354,comprehension
8,English,20,0.0202020203,comprehension
9,English,20,0.0268308081,comprehension
10,English,20,0.0416666666,comprehension
11,English,20,0.0647095959,comprehension
12,English,20,0.095959596,comprehension
13,English,20,0.1354166667,comprehension
14,English,20,0.1830808082,comprehension
15,English,20,0.2389520204,comprehension
16,English,20,0.3030303033,comprehension
17,English,20,0.3753156567,comprehension
18,English,20,0.4558080808,comprehension
8,English,30,0.0260158894,comprehension
9,English,30,0.0387498431,comprehension
10,English,30,0.060444524,comprehension
11,English,30,0.091099932,comprehension
12,English,30,0.1307160671,comprehension
13,English,30,0.1792929293,comprehension
14,English,30,0.2368305186,comprehension
15,English,30,0.3033288351,comprehension
16,English,30,0.3787878787,comprehension
17,English,30,0.4632076494,comprehension
18,English,30,0.5565881472,comprehension
8,English,40,0.029220779,comprehension
9,English,40,0.0505050505,comprehension
10,English,40,0.0804473306,comprehension
11,English,40,0.1190476193,comprehension
12,English,40,0.1663059166,comprehension
13,English,40,0.2222222225,comprehension
14,English,40,0.2867965371,comprehension
15,English,40,0.3600288602,comprehension
16,English,40,0.441919192,comprehension
17,English,40,0.5324675323,comprehension
18,English,40,0.6316738813,comprehension
8,English,50,0.0378787879,comprehension
9,English,50,0.06451006,comprehension
10,English,50,0.101010101,comprehension
11,English,50,0.1473789108,comprehension
12,English,50,0.2036164895,comprehension
13,English,50,0.2693615819,comprehension
14,English,50,0.3411342578,comprehension
15,English,50,0.4180137306,comprehension
16,English,50,0.5,comprehension
17,English,50,0.5870930663,comprehension
18,English,50,0.6792929293,comprehension
8,English,60,0.0446233189,comprehension
9,English,60,0.0858585859,comprehension
10,English,60,0.1338331217,comprehension
11,English,60,0.1885469264,comprehension
12,English,60,0.25,comprehension
13,English,60,0.3181818182,comprehension
14,English,60,0.3925040648,comprehension
15,English,60,0.472594481,comprehension
16,English,60,0.5584530668,comprehension
17,English,60,0.6500798223,comprehension
18,English,60,0.7474747475,comprehension
8,English,70,0.0707070707,comprehension
9,English,70,0.1230716983,comprehension
10,English,70,0.1803107556,comprehension
11,English,70,0.2424242424,comprehension
12,English,70,0.3094121589,comprehension
13,English,70,0.3812580687,comprehension
14,English,70,0.4570431758,comprehension
15,English,70,0.5361861091,comprehension
16,English,70,0.6186868687,comprehension
17,English,70,0.7045454545,comprehension
18,English,70,0.7937618666,comprehension
8,English,80,0.1102693564,comprehension
9,English,80,0.1708754182,comprehension
10,English,80,0.2348484832,comprehension
11,English,80,0.3021885514,comprehension
12,English,80,0.3728956228,comprehension
13,English,80,0.4469696975,comprehension
14,English,80,0.5244107752,comprehension
15,English,80,0.6052188562,comprehension
16,English,80,0.6893939403,comprehension
17,English,80,0.7769360276,comprehension
18,English,80,0.8678451181,comprehension
8,English,90,0.1774891775,comprehension
9,English,90,0.2575757576,comprehension
10,English,90,0.3367604618,comprehension
11,English,90,0.4150432901,comprehension
12,English,90,0.4924242424,comprehension
13,English,90,0.5689033189,comprehension
14,English,90,0.6444805195,comprehension
15,English,90,0.7191558441,comprehension
16,English,90,0.7929292929,comprehension
17,English,90,0.8658008657,comprehension
18,English,90,0.9377705627,comprehension
8,English,10,0,production
9,English,10,0,production
10,English,10,0,production
11,English,10,0.0008335441,production
