age,language,percentile,pred,measure
12,English,10,0.0023995256,production
13,English,10,0.0043569535,production
14,English,10,0.0067220788,production
15,English,10,0.0096624053,production
16,English,10,0.0132352941,production
17,English,10,0.0174407453,production
18,English,10,0.0222787588,production
19,English,10,0.0279411765,production
20,English,10,0.0373272576,production
21,English,10,0.0524957953,production
22,English,10,0.0735294118,production
23,English,10,0.1004281069,production
24,English,10,0.1331918808,production
25,English,10,0.1718207333,production
26,English,10,0.2163146645,production
27,English,10,0.2666736745,production
28,English,10,0.3228977631,production
29,English,10,0.3849869304,production
30,English,10,0.4529411765,production
8,English,20,0,production
9,English,20,0,production
10,English,20,0.0005481947,production
11,English,20,0.0024770074,production
12,English,20,0.0050505051,production
13,English,20,0.0083935892,production
14,English,20,0.0126262626,production
15,English,20,0.0177499446,production
16,English,20,0.0237646352,production
17,English,20,0.0306703344,production
18,English,20,0.03898876,production
19,English,20,0.0526793224,production
20,English,20,0.0728042131,production
21,English,20,0.0993634321,production
22,English,20,0.1323569793,production
23,English,20,0.1717848549,production
24,English,20,0.2176470588,production
25,English,20,0.269943591,production
26,English,20,0.3286744515,production
27,English,20,0.3938396403,production
28,English,20,0.4654391574,production
29,English,20,0.5434730028,production
30,English,20,0.6279411765,production
8,English,30,0,production
9,English,30,9.40428120521748E-12,production
10,English,30,0.0017931785,production
11,English,30,0.0044827222,production
12,English,30,0.0080686311,production
13,English,30,0.0126262626,production
14,English,30,0.0186281896,production
15,English,30,0.0261815398,production
16,English,30,0.0352941177,production
17,English,30,0.0468683525,production
18,English,30,0.0640268267,production
19,English,30,0.0872757858,production
20,English,30,0.1166152297,production
21,English,30,0.1520451585,production
22,English,30,0.1935655721,production
23,English,30,0.2411764705,production
24,English,30,0.2948778538,production
25,English,30,0.3546697219,production
26,English,30,0.4205520749,production
27,English,30,0.4925249126,production
28,English,30,0.5705882353,production
29,English,30,0.6547420427,production
30,English,30,0.744986335,production
8,English,40,0,production
9,English,40,0.0011225459,production
10,English,40,0.0036791404,production
11,English,40,0.0075137126,production
12,English,40,0.0126262626,production
13,English,40,0.0190470575,production
14,English,40,0.0269659041,production
15,English,40,0.0364258301,production
16,English,40,0.047979798,production
17,English,40,0.0650695831,production
18,English,40,0.0892699697,production
19,English,40,0.1205882353,production
20,English,40,0.1590243799,production
21,English,40,0.2045784036,production
22,English,40,0.2572503064,production
23,English,40,0.3170400882,production
24,English,40,0.3838235294,production
25,English,40,0.4544117647,production
26,English,40,0.5244616783,production
27,English,40,0.5936449829,production
28,English,40,0.6619616783,production
29,English,40,0.7294117647,production
30,English,40,0.795995242,production
8,English,50,3.46245523707512E-13,production
9,English,50,0.0016840628,production
10,English,50,0.0050513467,production
11,English,50,0.0101018517,production
12,English,50,0.0168355779,production
13,English,50,0.0252525252,production
14,English,50,0.0353526937,production
15,English,50,0.0473144266,production
16,English,50,0.0645622632,production
17,English,50,0.0891828443,production
18,English,50,0.1212196696,production
19,English,50,0.1606727389,production
20,English,50,0.2075420524,production
21,English,50,0.26182761,production
22,English,50,0.3235294118,production
23,English,50,0.3926470588,production
24,English,50,0.4677238092,production
25,English,50,0.5411764706,production
26,English,50,0.6103411822,production
27,English,50,0.6752176557,production
28,English,50,0.735805891,production
29,English,50,0.7921058881,production
30,English,50,0.8441176471,production
8,English,60,0.0012613112,production
9,English,60,0.0033664773,production
10,English,60,0.0075757576,production
11,English,60,0.0138891519,production
12,English,60,0.0223066603,production
13,English,60,0.0328282828,production
14,English,60,0.0455952772,production
15,English,60,0.0631683477,production
16,English,60,0.0883838384,production
17,English,60,0.1213847933,production
18,English,60,0.1621712126,production
19,English,60,0.210743096,production
20,English,60,0.2671004437,production
21,English,60,0.3312432557,production
22,English,60,0.4031715319,production
23,English,60,0.4818249793,production
24,English,60,0.5573529412,production
25,English,60,0.6266403065,production
26,English,60,0.6896870754,production
27,English,60,0.7464932477,production
28,English,60,0.7970588235,production
29,English,60,0.8413838029,production
30,English,60,0.8794681857,production
8,English,70,0.0025252523,production
9,English,70,0.0052108644,production
10,English,70,0.0105807465,production
11,English,70,0.0186348985,production
12,English,70,0.0293733205,production
13,English,70,0.0429292927,production
14,English,70,0.0616165218,production
15,English,70,0.0877661787,production
16,English,70,0.1214440608,production
17,English,70,0.162650168,production
18,English,70,0.2113845005,production
19,English,70,0.2676470582,production
20,English,70,0.331437841,production
21,English,70,0.402756849,production
22,English,70,0.4808823528,production
23,English,70,0.5582448547,production
24,English,70,0.6293510936,production
25,English,70,0.6940797275,production
26,English,70,0.7524307566,production
27,English,70,0.8044041807,production
28,English,70,0.8499999999,production
29,English,70,0.8892182142,production
30,English,70,0.9220588235,production
8,English,80,0.0050505052,production
9,English,80,0.0083902291,production
10,English,80,0.0150680079,production
11,English,80,0.0250838415,production
12,English,80,0.0391831197,production
13,English,80,0.0603814581,production
14,English,80,0.0891157042,production
15,English,80,0.1253858578,production
16,English,80,0.1691919192,production
17,English,80,0.2205338881,production
18,English,80,0.2794117647,production
19,English,80,0.345825549,production
20,English,80,0.4197752408,production
21,English,80,0.500781174,production
22,English,80,0.5806032999,production
23,English,80,0.6529110026,production
24,English,80,0.7176470589,production
25,English,80,0.7748114688,production
26,English,80,0.8244042325,production
27,English,80,0.8664253497,production
28,English,80,0.9008748207,production
29,English,80,0.9277526453,production
30,English,80,0.9470588235,production
8,English,90,0.0074117233,production
9,English,90,0.0126262626,production
10,English,90,0.0231860762,production
11,English,90,0.0410171159,production
12,English,90,0.0669584535,production
13,English,90,0.101010101,production
14,English,90,0.1431720584,production
15,English,90,0.1934443256,production
16,English,90,0.2518269026,production
17,English,90,0.3183197895,production
18,English,90,0.3929229863,production
19,English,90,0.475,production
20,English,90,0.5555497391,production
21,English,90,0.6292769742,production
22,English,90,0.6960267943,production
23,English,90,0.7557991995,production
24,English,90,0.8085941896,production
25,English,90,0.8544117647,production
26,English,90,0.8932519248,production
27,English,90,0.9251146699,production
28,English,90,0.95,production
29,English,90,0.9679079151,production
30,English,90,0.9788384152,production
