"index","item","response","theta"
305,"klein",0,-0.00243727301454761
80,"appel",0,-0.40732828441107
67,"bal",1,-0.133802077187512
53,"auto",0,-0.333454368505933
280,"nee",1,-0.191090563930793
81,"banaan",0,-0.273397000813579
287,"eten (dingen die we elke dag doen)",0,-0.333041711627695
260,"oma",1,-0.197534344379961
70,"boek",0,-0.238402738994716
6,"miauw/mauw (geluid)",0,-0.291219981409072
262,"opa",0,-0.347191157546606
14,"waf waf (geluid)",0,-0.40654559941481
2,"boe/moeh (geluid)",1,-0.334263086891656
94,"het eten",1,-0.212103560392169
17,"aap",1,-0.111722957591318
92,"ei",0,-0.131332664731326
341,"eten (werkwoord)",0,-0.155295226547892
29,"kat/poes",0,-0.182176962480921
32,"koe",1,-0.103813813463445
59,"fiets",0,-0.116513881200431
18,"beer",0,-0.1291178048769
223,"boom",0,-0.142673697615226
99,"koekje",0,-0.154851852244842
250,"baby",1,-0.0878036294012811
97,"kaas",0,-0.100129098875433
198,"bad",0,-0.108980803541005
39,"paard",1,-0.0405191236829775
147,"neus",0,-0.0489596504444405
90,"het drinken",0,-0.0597100087743596
50,"vogel",0,-0.0689405328475302
28,"hond",1,-0.0232308605206548
