"index","item","response","theta"
305,"klein",0,-0.00243727301454761
80,"appel",1,0.901294414454052
174,"lepel",1,1.20635612964532
363,"rennen",0,1.0299658615398
151,"tand/tanden",1,1.16886815103755
131,"trui/sweater",0,1.0786600869624
215,"tafel",0,0.99392408244398
158,"bord",0,0.927850985134615
186,"beker/kopje",0,0.870631325547965
155,"voet",0,0.811241199246233
214,"stoel",1,0.846398930178406
145,"mond",1,0.884425924012421
344,"lopen",0,0.859496515883055
140,"hand",0,0.824779233643279
37,"muis",1,0.851093002044561
202,"douche",1,0.877626260381375
121,"laarzen",1,0.907198764812041
134,"been",0,0.886658704756262
232,"water (dingen buiten het huis)",1,0.906094864475269
154,"vinger",1,0.944866254882785
376,"spelen",1,0.96795839927723
113,"wortel",0,0.955874030692101
229,"schommel",1,0.977881158844706
190,"vork",1,1.00322444573332
228,"regen",0,0.988953516437355
