"index","item","response","theta"
148,"couche (vêtements)",1,0.110336168976716
479,"avec",0,-0.15805756465245
166,"assiette",0,-0.373515763293881
122,"yeux",1,-0.260923209465357
46,"éléphant",1,-0.190046194462501
440,"cuisine",1,-0.0663290703899124
201,"verre (vaisselle)",1,-0.0173724948264017
178,"feuille (de papier)",1,0.039596157232083
276,"grand",0,-0.00668697498642597
60,"souris",1,0.0222191181369532
510,"nuage",0,-0.00992861788005565
221,"table",1,0.0115898313072511
302,"dessiner",1,0.0359700493103035
169,"boîte",0,0.0113707994188151
111,"jambe",1,0.0315483016428721
589,"porter",0,0.0108464259208802
207,"chambre",1,0.027190128072209
126,"garçon",0,0.0116227347270643
189,"photo",0,-0.011606824334234
247,"soleil",0,-0.0407482487050575
204,"canapé",1,-0.0270577814279076
300,"courir",0,-0.0467240724932983
69,"carotte",1,-0.0378285840335963
324,"pleurer",0,-0.0538140849117156
121,"ventre",1,-0.0440852395277928
