itemID,item,item_type,category,choices,definition,gloss,complexity_category,enabler,enable_response,scoring_category
item_1,general,general,general,(a); (b); (c); (d); (e); (f),"(a) She/he is not yet saying words on his/her own. <br/> (b) She/he is talking, but you cannot understand him/her. <br/> (c) She/he is talking in single words, such as ""clock"" or ""look"". <br/> (d) She/he is talking in 2-3 word phrases, such as ""give puppy"" or ""want ice cream."" <br/> (e) She/he is talking in fairly complete sentences, such as ""I got car"" or ""Can I go outside?"" <br/> (f) She/he is talking in long and complex sentences, such as ""when we went to the park, I went on the swings"" or ""I saw a dog on the street.""",,,,,
item_2,dinner,word,foods,produces,dinner,dinner,,item_1,(c); (d); (e); (f),
item_3,boil,word,foods,produces,boil,boil,,item_1,(c); (d); (e); (f),
item_4,cook (make food),word,foods,produces,cook (make food),cook (make food),,item_1,(c); (d); (e); (f),
item_5,cut,word,foods,produces,cut,cut,,item_1,(c); (d); (e); (f),
item_6,full,word,foods,produces,full,full,,item_1,(c); (d); (e); (f),
item_7,hungry,word,foods,produces,hungry,hungry,,item_1,(c); (d); (e); (f),
item_8,grill,word,foods,produces,grill,grill,,item_1,(c); (d); (e); (f),
item_9,raw,word,foods,produces,raw,raw,,item_1,(c); (d); (e); (f),
item_10,rinse/wash,word,foods,produces,rinse/wash,rinse/wash,,item_1,(c); (d); (e); (f),
item_11,spoon,word,foods,produces,spoon,spoon,,item_1,(c); (d); (e); (f),
item_12,sweet,word,foods,produces,sweet,sweet,,item_1,(c); (d); (e); (f),
item_13,thirsty,word,foods,produces,thirsty,thirsty,,item_1,(c); (d); (e); (f),
item_14,belly button,word,body_nouns,produces,belly button,belly button,,item_1,(c); (d); (e); (f),
item_15,elbow,word,body_nouns,produces,elbow,elbow,,item_1,(c); (d); (e); (f),
item_16,finger,word,body_nouns,produces,finger,finger,,item_1,(c); (d); (e); (f),
item_17,head,word,body_nouns,produces,head,head,,item_1,(c); (d); (e); (f),
item_18,knee,word,body_nouns,produces,knee,knee,,item_1,(c); (d); (e); (f),
item_19,lips,word,body_nouns,produces,lips,lips,,item_1,(c); (d); (e); (f),
item_20,lungs,word,body_nouns,produces,lungs,lungs,,item_1,(c); (d); (e); (f),
item_21,nails,word,body_nouns,produces,nails,nails,,item_1,(c); (d); (e); (f),
item_22,neck,word,body_nouns,produces,neck,neck,,item_1,(c); (d); (e); (f),
item_23,scar,word,body_nouns,produces,scar,scar,,item_1,(c); (d); (e); (f),
item_24,stomach,word,body_nouns,produces,stomach,stomach,,item_1,(c); (d); (e); (f),
item_25,toe,word,body_nouns,produces,toe,toe,,item_1,(c); (d); (e); (f),
item_26,wound,word,body_nouns,produces,wound,wound,,item_1,(c); (d); (e); (f),
item_27,chew,word,body_verbs,produces,chew,chew,,item_1,(c); (d); (e); (f),
item_28,cough,word,body_verbs,produces,cough,cough,,item_1,(c); (d); (e); (f),
item_29,heal,word,body_verbs,produces,heal,heal,,item_1,(c); (d); (e); (f),
item_30,hurt,word,body_verbs,produces,hurt,hurt,,item_1,(c); (d); (e); (f),
item_31,nap,word,body_verbs,produces,nap,nap,,item_1,(c); (d); (e); (f),
item_32,sick/ill,word,body_verbs,produces,sick/ill,sick/ill,,item_1,(c); (d); (e); (f),
item_33,smell,word,body_verbs,produces,smell,smell,,item_1,(c); (d); (e); (f),
item_34,sneeze,word,body_verbs,produces,sneeze,sneeze,,item_1,(c); (d); (e); (f),
item_35,sore,word,body_verbs,produces,sore,sore,,item_1,(c); (d); (e); (f),
item_36,sweaty,word,body_verbs,produces,sweaty,sweaty,,item_1,(c); (d); (e); (f),
item_37,tired/sleepy,word,body_verbs,produces,tired/sleepy,tired/sleepy,,item_1,(c); (d); (e); (f),
item_38,reason,word,think_nouns,produces,reason,reason,,item_1,(c); (d); (e); (f),
item_39,trouble,word,think_nouns,produces,trouble,trouble,,item_1,(c); (d); (e); (f),
item_40,ashamed,word,think_verbs,produces,ashamed,ashamed,,item_1,(c); (d); (e); (f),
item_41,bad,word,think_verbs,produces,bad,bad,,item_1,(c); (d); (e); (f),
item_42,because,word,think_verbs,produces,because,because,,item_1,(c); (d); (e); (f),
item_43,believe,word,think_verbs,produces,believe,believe,,item_1,(c); (d); (e); (f),
item_44,best,word,think_verbs,produces,best,best,,item_1,(c); (d); (e); (f),
item_45,clever,word,think_verbs,produces,clever,clever,,item_1,(c); (d); (e); (f),
item_46,could be,word,think_verbs,produces,could be,could be,,item_1,(c); (d); (e); (f),
item_47,count,word,think_verbs,produces,count,count,,item_1,(c); (d); (e); (f),
item_48,cry,word,think_verbs,produces,cry,cry,,item_1,(c); (d); (e); (f),
item_49,curious,word,think_verbs,produces,curious,curious,,item_1,(c); (d); (e); (f),
item_50,dangerous,word,think_verbs,produces,dangerous,dangerous,,item_1,(c); (d); (e); (f),
item_51,desperate,word,think_verbs,produces,desperate,desperate,,item_1,(c); (d); (e); (f),
item_52,disappointed,word,think_verbs,produces,disappointed,disappointed,,item_1,(c); (d); (e); (f),
item_53,discover,word,think_verbs,produces,discover,discover,,item_1,(c); (d); (e); (f),
item_54,disturb,word,think_verbs,produces,disturb,disturb,,item_1,(c); (d); (e); (f),
item_55,embarrassed,word,think_verbs,produces,embarrassed,embarrassed,,item_1,(c); (d); (e); (f),
item_56,examine,word,think_verbs,produces,examine,examine,,item_1,(c); (d); (e); (f),
item_57,excited,word,think_verbs,produces,excited,excited,,item_1,(c); (d); (e); (f),
item_58,explain,word,think_verbs,produces,explain,explain,,item_1,(c); (d); (e); (f),
item_59,feel,word,think_verbs,produces,feel,feel,,item_1,(c); (d); (e); (f),
item_60,figure out,word,think_verbs,produces,figure out,figure out,,item_1,(c); (d); (e); (f),
item_61,fool,word,think_verbs,produces,fool,fool,,item_1,(c); (d); (e); (f),
item_62,funny,word,think_verbs,produces,funny,funny,,item_1,(c); (d); (e); (f),
item_63,furious,word,think_verbs,produces,furious,furious,,item_1,(c); (d); (e); (f),
item_64,glad,word,think_verbs,produces,glad,glad,,item_1,(c); (d); (e); (f),
item_65,guess,word,think_verbs,produces,guess,guess,,item_1,(c); (d); (e); (f),
item_66,grumpy,word,think_verbs,produces,grumpy,grumpy,,item_1,(c); (d); (e); (f),
item_67,happy,word,think_verbs,produces,happy,happy,,item_1,(c); (d); (e); (f),
item_68,hope,word,think_verbs,produces,hope,hope,,item_1,(c); (d); (e); (f),
item_69,imagine,word,think_verbs,produces,imagine,imagine,,item_1,(c); (d); (e); (f),
item_70,irritated,word,think_verbs,produces,irritated,irritated,,item_1,(c); (d); (e); (f),
item_71,lonely,word,think_verbs,produces,lonely,lonely,,item_1,(c); (d); (e); (f),
item_72,lose,word,think_verbs,produces,lose,lose,,item_1,(c); (d); (e); (f),
item_73,lost,word,think_verbs,produces,lost,lost,,item_1,(c); (d); (e); (f),
item_74,make believe,word,think_verbs,produces,make believe,make believe,,item_1,(c); (d); (e); (f),
item_75,might,word,think_verbs,produces,might,might,,item_1,(c); (d); (e); (f),
item_76,nervous,word,think_verbs,produces,nervous,nervous,,item_1,(c); (d); (e); (f),
item_77,never,word,think_verbs,produces,never,never,,item_1,(c); (d); (e); (f),
item_78,pretend,word,think_verbs,produces,pretend,pretend,,item_1,(c); (d); (e); (f),
item_79,probably,word,think_verbs,produces,probably,probably,,item_1,(c); (d); (e); (f),
