itemID,item,item_type,category,choices,definition,gloss,complexity_category,uni_lemma
item_1,baa_baa,word,col_1,produces,baa baa,baa baa,,
item_2,moo,word,col_1,produces,moo,moo,,
item_3,ouch,word,col_1,produces,ouch,ouch,,
item_4,yum_yum,word,col_1,produces,yum yum,yum yum,,
item_5,quack_quack,word,col_1,produces,quack quack,quack quack,,
item_6,bird,word,col_1,produces,bird,bird,,
item_7,duck,word,col_1,produces,duck,duck,,
item_8,fish,word,col_1,produces,fish,fish,,
item_9,kitty,word,col_1,produces,kitty,kitty,,
item_10,moose,word,col_1,produces,moose,moose,,
item_11,penguin,word,col_1,produces,penguin,penguin,,
item_12,boat,word,col_1,produces,boat,boat,,
item_13,truck,word,col_1,produces,truck,truck,,
item_14,balloon,word,col_1,produces,balloon,balloon,,
item_15,present,word,col_1,produces,present,present,,
item_16,puzzle,word,col_1,produces,puzzle,puzzle,,
item_17,cheese,word,col_1,produces,cheese,cheese,,
item_18,chicken,word,col_1,produces,chicken,chicken,,
item_19,cookie,word,col_1,produces,cookie,cookie,,
item_20,juice,word,col_1,produces,juice,juice,,
item_21,pretzel,word,col_1,produces,pretzel,pretzel,,
item_22,salt,word,col_1,produces,salt,salt,,
item_23,sauce,word,col_1,produces,sauce,sauce,,
item_24,vanilla,word,col_1,produces,vanilla,vanilla,,
item_25,cup,word,col_1,produces,cup,cup,,
item_26,beads,word,col_2,produces,beads,beads,,
item_27,hat,word,col_2,produces,hat,hat,,
item_28,jeans,word,col_2,produces,jeans,jeans,,
item_29,shoe,word,col_2,produces,shoe,shoe,,
item_30,foot,word,col_2,produces,feet,feet,,
item_30,feet,word,col_2,produces,feet,feet,,
item_31,nose,word,col_2,produces,nose,nose,,
item_32,tongue,word,col_2,produces,tongue,tongue,,
item_33,bottle,word,col_2,produces,bottle,bottle,,
item_34,bowl,word,col_2,produces,bowl,bowl,,
item_35,clock,word,col_2,produces,clock,clock,,
item_36,glass,word,col_2,produces,glass,glass,,
item_37,jar,word,col_2,produces,jar,jar,,
item_38,keys,word,col_2,produces,keys,keys,,
item_39,light,word,col_2,produces,light,light,,
item_40,telephone,word,col_2,produces,telephone,telephone,,
item_41,bathtub,word,col_2,produces,bathtub,bathtub,,
item_42,chair,word,col_2,produces,chair,chair,,
item_43,crib,word,col_2,produces,crib,crib,,
item_44,porch,word,col_2,produces,porch,porch,,
item_45,sofa,word,col_2,produces,sofa,sofa,,
item_46,cloud,word,col_2,produces,cloud,cloud,,
item_47,hose,word,col_2,produces,hose,hose,,
item_48,sidewalk,word,col_2,produces,sidewalk,sidewalk,,
item_49,sun,word,col_2,produces,sun,sun,,
item_50,house,word,col_2,produces,house,house,,
item_51,store,word,col_3,produces,store,store,,
item_52,zoo,word,col_3,produces,zoo,zoo,,
item_53,baby,word,col_3,produces,baby,baby,,
item_54,mommy,word,col_3,produces,mommy,mommy,,
item_55,child,word,col_3,produces,child,child,,
item_56,mailman,word,col_3,produces,mailman,mailman,,
item_57,bath,word,col_3,produces,bath,bath,,
item_58,bye,word,col_3,produces,bye,bye,,
item_59,lunch,word,col_3,produces,lunch,lunch,,
item_60,nightnight,word,col_3,produces,night night,night night,,
item_61,no,word,col_3,produces,no,no,,
item_62,bite,word,col_3,produces,bite,bite,,
item_63,build,word,col_3,produces,build,build,,
item_64,catch,word,col_3,produces,catch,catch,,
item_65,drink,word,col_3,produces,drink,drink,,
item_66,drop,word,col_3,produces,drop,drop,,
item_67,find,word,col_3,produces,find,find,,
item_68,go,word,col_3,produces,go,go,,
item_69,hide,word,col_3,produces,hide,hide,,
item_70,jump,word,col_3,produces,jump,jump,,
item_71,kick,word,col_3,produces,kick,kick,,
item_72,look,word,col_3,produces,look,look,,
item_73,pick,word,col_3,produces,pick,pick,,
item_74,run,word,col_3,produces,run,run,,
item_75,sit,word,col_3,produces,sit,sit,,
item_76,big,word,col_4,produces,big,big,,
item_77,black,word,col_4,produces,black,black,,
item_78,then,word,col_4,produces,then,then,,
item_79,careful,word,col_4,produces,careful,careful,,
item_80,dirty,word,col_4,produces,dirty,dirty,,
item_81,fine,word,col_4,produces,fine,fine,,
item_82,mad,word,col_4,produces,mad,mad,,
item_83,noisy,word,col_4,produces,noisy,noisy,,
item_84,slow,word,col_4,produces,slow,slow,,
item_85,before,word,col_4,produces,before,before,,
item_86,today,word,col_4,produces,today,today,,
item_87,tomorrow,word,col_4,produces,tomorrow,tomorrow,,
item_88,she,word,col_4,produces,she,she,,
item_89,their,word,col_4,produces,their,their,,
item_90,they,word,col_4,produces,they,they,,
item_91,yourself,word,col_4,produces,yourself,yourself,,
item_92,why,word,col_4,produces,why,why,,
item_93,above,word,col_4,produces,above,above,,
item_94,away,word,col_4,produces,away,away,,
item_95,up,word,col_4,produces,up,up,,
item_96,none,word,col_4,produces,none,none,,
item_97,some,word,col_4,produces,some,some,,
item_98,does,word,col_4,produces,does,does,,
item_99,dont,word,col_4,produces,don't,don't,,
item_100,were,word,col_4,produces,were,were,,
item_101,combine,combine,combine,not yet; sometimes; often,"Has your child begun to combine words yet, such as ""nother cookie"" or ""doggie bite""?",,,
