itemID,item,item_type,category,choices,definition,uni_lemma,gloss,complexity_category
item_1,am,word,sounds,produces,¡am!,yum yum,yum yum,
item_2,ay,word,sounds,produces,¡ay!,ouch,ouch,
item_3,beemee,word,sounds,produces,bee/mee,baa baa,baa baa,
item_4,cuacua,word,sounds,produces,cuacuá,quack quack,quack quack,
item_5,guagua,word,sounds,produces,guaguá,woof woof,woof woof,
item_6,miau,word,sounds,produces,miau,meow,meow,
item_7,muu,word,sounds,produces,muu,moo,moo,
item_8,piopio,word,sounds,produces,pío pío,tweet tweet,tweet tweet,
item_9,pipi,word,sounds,produces,pipí,honk honk,honk honk,
item_10,pum,word,sounds,produces,¡pum!,bang,bang,
item_11,qiqiriqi,word,sounds,produces,quiquiriquí,cockadoodledoo,cockadoodledoo,
item_12,tutu,word,sounds,produces,tutú,choo choo,choo choo,
item_13,abeja,word,animals,produces,abeja,bee,bee,
item_14,animal,word,animals,produces,animal,animal,animal,
item_15,arana,word,animals,produces,araña,spider,spider,
item_16,ardilla,word,animals,produces,ardilla,squirrel,squirrel,
item_17,bicho,word,animals,produces,bicho,,bug,
item_18,borrego,word,animals,produces,borrego,lamb,lamb,
item_19,buey,word,animals,produces,buey,ox,ox,
item_20,buho,word,animals,produces,búho,owl,owl,
item_21,burro,word,animals,produces,burro,donkey,donkey,
item_22,caballo,word,animals,produces,caballo,horse,horse,
item_23,cebra,word,animals,produces,cebra,,zebra,
item_24,cocdrilo,word,animals,produces,cocodrilo,,crocodile,
item_25,conejo,word,animals,produces,conejo,bunny,rabbit,
item_26,elefante,word,animals,produces,elefante,elephant,elephant,
item_27,foca,word,animals,produces,foca,,seal,
item_28,gallina,word,animals,produces,gallina,hen,hen,
item_29,ganso,word,animals,produces,ganso,,goose,
item_30,gato,word,animals,produces,gato,cat,cat,
item_31,guajolot,word,animals,produces,guajolote,turkey,turkey,
item_32,hippotmo,word,animals,produces,hipopótamo,hippopotamus,hippopotamus,
item_33,hormiga,word,animals,produces,hormiga,ant,ant,
item_34,jirafa,word,animals,produces,jirafa,giraffe,giraffe,
item_35,leon,word,animals,produces,león,lion,lion,
item_36,lobo,word,animals,produces,lobo,wolf,wolf,
item_37,mariposa,word,animals,produces,mariposa,butterfly,butterfly,
item_38,mono,word,animals,produces,mono,monkey,monkey,
item_39,mosca,word,animals,produces,mosca,fly (animal),fly,
item_40,mosco,word,animals,produces,mosco,,mosquito,
item_41,oso,word,animals,produces,oso,bear,bear,
item_42,pajaro,word,animals,produces,pájaro,bird,bird,
item_43,pato,word,animals,produces,pato,duck,duck,
item_44,perro,word,animals,produces,perro,dog,dog,
item_45,pescado1,word,animals,produces,pescado,fish (animal),fish,
item_46,pinguino,word,animals,produces,pingüino,penguin,penguin,
item_47,pollito,word,animals,produces,pollito,chick,chick,
item_48,puerco,word,animals,produces,puerco,pig,pig,
item_49,rano,word,animals,produces,rana,frog,frog,
item_50,raton,word,animals,produces,ratón,mouse,mouse,
item_51,tigre,word,animals,produces,tigre,tiger,tiger,
item_52,tortuga,word,animals,produces,tortuga,turtle,turtle,
item_53,vaca,word,animals,produces,vaca,cow,cow,
item_54,venado,word,animals,produces,venado,deer,deer,
item_55,vibora,word,animals,produces,víbora,,viper,
item_56,autobus,word,vehicles,produces,autobús,,bus,
item_57,avion,word,vehicles,produces,avión,airplane,airplane,
item_58,barco,word,vehicles,produces,barco,boat,boat,
item_59,biciclet,word,vehicles,produces,bicicleta,bicycle,bike,
item_60,camibomb,word,vehicles,produces,camión de bombero,firetruck,firetruck,
item_61,camion,word,vehicles,produces,camión/troca,truck,camion,
item_62,carreola,word,vehicles,produces,carreola,stroller,stroller,
item_63,carro,word,vehicles,produces,carro/coche,car,car,
item_64,helicptr,word,vehicles,produces,helicóptero,helicopter,helicopter,
item_65,moto,word,vehicles,produces,moto,motorcycle,motorbike,
item_66,tractor,word,vehicles,produces,tractor,tractor,tractor,
item_67,tren,word,vehicles,produces,tren,train,train,
item_68,tricicl1,word,vehicles,produces,triciclo,,tricycle,
item_69,trineo,word,vehicles,produces,trineo,,sled,
item_70,agua,word,food_drink,produces,agua,water (beverage),water,
item_71,arroz,word,food_drink,produces,arroz,rice,rice,
item_72,atole,word,food_drink,produces,atole,atole,porridge,
item_73,atun,word,food_drink,produces,atún,,tuna fish,
item_74,azucar,word,food_drink,produces,azúcar,,sugar,
item_75,mani,word,food_drink,produces,cacahuete/maní,,peanut,
item_76,cafe,word,food_drink,produces,café,coffee,coffee,
item_77,calabaza,word,food_drink,produces,calabaza,,pumpkin,
item_78,carne,word,food_drink,produces,carne,meat,meat,
item_79,cereal,word,food_drink,produces,cereal,cereal,cereal,
item_80,chicharo,word,food_drink,produces,chícharo,,pea,
item_81,chicle,word,food_drink,produces,chicle,,chewing gum,
item_82,chile,word,food_drink,produces,chile,chili,chili,
item_83,chocolat,word,food_drink,produces,chocolate,,chocolate,
item_84,comida,word,food_drink,produces,comida,food,food,
item_85,dulce,word,food_drink,produces,dulce,candy,sweet candy,
item_86,durazno,word,food_drink,produces,durazno,,peach,
item_87,ejotes,word,food_drink,produces,ejotes,,green beans,
item_88,elote,word,food_drink,produces,elote,,corncob,
item_89,espgueti,word,food_drink,produces,espagueti,,spaghetti,
item_90,fresa,word,food_drink,produces,fresa,,strawberry,
item_91,frijoles,word,food_drink,produces,frijoles,beans,beans,
item_92,galleta,word,food_drink,produces,galleta,cookie,cookie,
item_93,gellatin,word,food_drink,produces,gelatina,,jelly,
item_94,hamburgs,word,food_drink,produces,hamburguesa,,hamburger,
item_95,helado,word,food_drink,produces,helado/nieve,ice cream,ice cream,
item_96,hielo,word,food_drink,produces,hielo,,ice,
item_97,hotcakes,word,food_drink,produces,hot cakes,,hotcakes,
item_98,huevo,word,food_drink,produces,huevo,egg,egg,
item_99,jamon,word,food_drink,produces,jamón,ham,ham,
item_100,jugo,word,food_drink,produces,jugo,juice,juice,
item_101,leche,word,food_drink,produces,leche,milk,milk,
item_102,licuado,word,food_drink,produces,licuado,,smoothie,
item_103,limonad,word,food_drink,produces,limonada,,lemonade,
item_104,mantqila,word,food_drink,produces,mantequilla,,butter,
item_105,manzana,word,food_drink,produces,manzana,apple,apple,
item_106,melon,word,food_drink,produces,melón,,melon,
item_107,mermelad,word,food_drink,produces,mermelada,,marmalade,
item_108,naranja,word,food_drink,produces,naranja,orange (food),orange (fruit),
item_109,paleta,word,food_drink,produces,paleta,lollipop,lollipop,
item_110,palomtas,word,food_drink,produces,palomitas,,popcorn,
item_111,pan,word,food_drink,produces,pan,bread,bread,
item_112,pandulc,word,food_drink,produces,pan dulce,,sweet bread,
item_113,papas,word,food_drink,produces,papas,,potatoes,
item_114,papitas,word,food_drink,produces,papitas,,chips,
item_115,pasas,word,food_drink,produces,pasas,,raisins,
item_116,pastel,word,food_drink,produces,pastel,cake,cake,
item_117,pentbttr,word,food_drink,produces,peanut butter,,peanut butter,
item_118,pescado2,word,food_drink,produces,pescado,,fish (food),
item_119,platano,word,food_drink,produces,plátano/banana,banana,banana,
item_120,pollo,word,food_drink,produces,pollo,chicken (food),chicken,
item_121,quesdila,word,food_drink,produces,quesadilla,quesadilla,quesadilla,
item_122,queso,word,food_drink,produces,queso,cheese,cheese,
item_123,sal,word,food_drink,produces,sal,,salt,
item_124,salchch,word,food_drink,produces,salchicha,hot dog,hot dog,
item_125,salsa,word,food_drink,produces,salsa,,salsa,
item_126,sandia,word,food_drink,produces,sandía,,watermelon,
item_127,soda,word,food_drink,produces,soda/refresco,soda,soda water,
item_128,sopa,word,food_drink,produces,sopa,soup,soup,
item_129,taco,word,food_drink,produces,taco,,taco,
item_130,te1,word,food_drink,produces,té,,tea,
