itemID,item,item_type,category,choices,definition,gloss
item_1,am,word,sounds,produces,¡am!,¡am!
item_2,ay,word,sounds,produces,¡ay!,¡ay!
item_3,beemee,word,sounds,produces,bee/mee,bee/mee
item_4,cuacua,word,sounds,produces,cua-cuá,cua-cuá
item_5,guagua,word,sounds,produces,guau-guau/ba-bau,guau-guau/ba-bau
item_6,miau,word,sounds,produces,miau,miau
item_7,muu,word,sounds,produces,muu,muu
item_8,piopio,word,sounds,produces,pio-pío,pio-pío
item_9,pum,word,sounds,produces,¡pum!,¡pum!
item_10,qiqiriqi,word,sounds,produces,qui-qui-ri-quí,qui-qui-ri-quí
item_11,rumrum,word,sounds,produces,rum-rum (coche),rum-rum (coche)
item_12,tutu,word,sounds,produces,tu-tú,tu-tú
item_13,abeja,word,animals,produces,abeja,abeja
item_14,animal,word,animals,produces,animal,animal
item_15,arana,word,animals,produces,araña,araña
item_16,ardilla,word,animals,produces,ardilla,ardilla
item_17,ballena,word,animals,produces,ballena,ballena
item_18,bicho,word,animals,produces,bicho,bicho
item_19,burro,word,animals,produces,burro,burro
item_20,caballo,word,animals,produces,caballo,caballo
item_21,cebra,word,animals,produces,cebra,cebra
item_22,chancho,word,animals,produces,chancho,chancho
item_23,ciervo,word,animals,produces,ciervo/bambi,ciervo/bambi
item_24,cocdrilo,word,animals,produces,cocodrilo,cocodrilo
item_25,conejo,word,animals,produces,conejo,conejo
item_26,cucaracha,word,animals,produces,cucaracha,cucaracha
item_27,elefante,word,animals,produces,elefante,elefante
item_28,foca,word,animals,produces,foca,foca
item_29,gallina,word,animals,produces,gallina,gallina
item_30,gato,word,animals,produces,gato,gato
item_31,gusano,word,animals,produces,gusano,gusano
item_32,hippotmo,word,animals,produces,hipopótamo,hipopótamo
item_33,hormiga,word,animals,produces,hormiga,hormiga
item_34,jirafa,word,animals,produces,jirafa,jirafa
item_35,lechuza,word,animals,produces,lechuza,lechuza
item_36,leon,word,animals,produces,león,león
item_37,lobo,word,animals,produces,lobo,lobo
item_38,mariposa,word,animals,produces,mariposa,mariposa
item_39,mono,word,animals,produces,mono,mono
item_40,mosca,word,animals,produces,mosca,mosca
item_41,mosquito,word,animals,produces,mosquito,mosquito
item_42,oso,word,animals,produces,oso,oso
item_43,oveja,word,animals,produces,oveja,oveja
item_44,pajaro,word,animals,produces,pájaro,pájaro
item_45,pato,word,animals,produces,pato,pato
item_46,pavo,word,animals,produces,pavo,pavo
item_47,perro,word,animals,produces,perro,perro
item_48,pescado1,word,animals,produces,pescado/pez,pescado/pez
item_49,pinguino,word,animals,produces,pingüino,pingüino
item_50,pollito,word,animals,produces,pollito,pollito
item_51,rano,word,animals,produces,rana,rana
item_52,raton,word,animals,produces,ratón/rata,ratón/rata
item_53,sapo,word,animals,produces,sapo,sapo
item_54,tigre,word,animals,produces,tigre,tigre
item_55,tortuga,word,animals,produces,tortuga,tortuga
item_56,vaca,word,animals,produces,vaca,vaca
item_57,venado,word,animals,produces,venado,venado
item_58,vibora,word,animals,produces,víbora,víbora
item_59,ambulancia,word,vehicles,produces,ambulancia,ambulancia
item_60,auto,word,vehicles,produces,auto,auto
item_61,auto de policía,word,vehicles,produces,auto de policía,auto de policía
item_62,avion,word,vehicles,produces,avión,avión
item_63,barco,word,vehicles,produces,barco,barco
item_64,biciclet,word,vehicles,produces,bicicleta/bici,bicicleta/bici
item_65,camibomb,word,vehicles,produces,camión de bombero,camión de bombero
item_66,cochecito,word,vehicles,produces,cochecito de bebé,cochecito de bebé
item_67,helicptr,word,vehicles,produces,helicóptero,helicóptero
item_68,micro,word,vehicles,produces,micro/colectivo,micro/colectivo
item_69,moto,word,vehicles,produces,moto,moto
