itemID,item_type,pdf_header
item_1,first_signs,1Respond
item_2,first_signs,2Respond
item_3,first_signs,3React
item_4,phrases,understands_1
item_5,phrases,understands_2
item_6,phrases,understands_3
item_7,phrases,understands_4
item_8,phrases,understands_5
item_9,phrases,understands_6
item_10,phrases,understands_7
item_11,phrases,understands_8
item_12,phrases,understands_9
item_13,phrases,understands_10
item_14,phrases,understands_11
item_15,phrases,understands_12
item_16,phrases,understands_13
item_17,phrases,understands_14
item_18,phrases,understands_15
item_19,phrases,understands_16
item_20,phrases,understands_17
item_21,phrases,understands_18
item_22,phrases,understands_19
item_23,phrases,understands_20
item_24,phrases,understands_21
item_25,phrases,understands_22
item_26,phrases,understands_23
item_27,phrases,understands_24
item_28,phrases,understands_25
item_29,phrases,understands_26
item_30,phrases,understands_27
item_31,phrases,understands_28
item_32,starting_to_talk,C1_talk
item_33,starting_to_talk,C2_talk
item_34,word,baa baa
item_35,word,choo choo
item_36,word,cockadoodledoo
item_37,word,grrr
item_38,word,meow
item_39,word,moo
item_40,word,ouch
item_41,word,quack quack
item_42,word,uh oh
item_43,word,vroom
item_44,word,woof woof
item_45,word,yum yum
item_46,word,animal
item_47,word,bear
item_48,word,bee
item_49,word,bird
item_50,word,bug
item_51,word,bunny
item_52,word,butterfly
item_53,word,cat
item_54,word,chicken
item_55,word,cow
item_56,word,deer
item_57,word,dog
item_58,word,donkey
item_59,word,duck
item_60,word,elephant
item_61,word,fish
item_62,word,frog
item_63,word,giraffe
item_64,word,goose
item_65,word,horse
item_66,word,kitty
item_67,word,lamb
item_68,word,lion
item_69,word,monkey
item_70,word,mouse
item_71,word,owl
item_72,word,penguin
item_73,word,pig
item_74,word,pony
item_75,word,puppy
item_76,word,sheep
item_77,word,squirrel
item_78,word,teddy bear
item_79,word,tiger
item_80,word,turkey
item_81,word,turtle
item_82,word,airplane
item_83,word,bicycle
item_84,word,bus
item_85,word,car
item_86,word,firetruck
item_87,word,motorcycle
item_88,word,stroller
item_89,word,train
item_90,word,truck
item_91,word,ball
item_92,word,balloon
item_93,word,block
item_94,word,book
item_95,word,bubbles
item_96,word,doll
item_97,word,pen
item_98,word,toy
item_99,word,apple
item_100,word,banana
item_101,word,bread
item_102,word,butter
item_103,word,cake
item_104,word,candy
item_105,word,carrots
item_106,word,cereal
item_107,word,cheerios
item_108,word,cheese
item_109,word,chicken1
item_110,word,coffee
item_111,word,cookie
item_112,word,cracker
item_113,word,drink
item_114,word,egg
item_115,word,fish1
item_116,word,food
item_117,word,ice cream
item_118,word,juice
item_119,word,meat
item_120,word,milk
item_121,word,noodles
item_122,word,orange
item_123,word,peas
item_124,word,pizza
item_125,word,raisin
item_126,word,spaghetti
item_127,word,toast
item_128,word,water1
item_129,word,beads
item_130,word,bib
item_131,word,boots
item_132,word,button
item_133,word,coat
item_134,word,diaper
item_135,word,dress
item_136,word,hat
item_137,word,jacket
item_138,word,jeans
item_139,word,necklace
item_140,word,pajamas
item_141,word,pants
item_142,word,shirt
item_143,word,shoe
item_144,word,shorts
item_145,word,sock
item_146,word,sweater
item_147,word,zipper
item_148,word,arm
item_149,word,belly button
item_150,word,cheek
