"age","theta","sd","n","definition","index","item_info"
12,-1.21726441895011,0.745191777435684,104,"papa",263,0.91805427030427
13,-0.857527325624959,0.741279953387564,113,"bal",67,1.33644972995824
14,-0.845519857906484,0.71284931334537,150,"bal",67,1.3636099685409
15,-0.552299024474182,0.714205649397097,152,"bal",67,1.93701645014779
16,-0.312255816917687,0.732926504668883,170,"bal",67,2.03043224568594
17,0.0829935129676107,0.698674484079981,205,"appel",80,3.35751044783818
18,0.0752833749025628,0.737040885102211,239,"appel",80,3.34370944827258
19,0.239902542634289,0.729090499360629,31,"appel",80,3.34427393935066
20,0.60870857816974,0.553798801970577,35,"stoel",214,7.14642313418137
21,0.609454652464601,0.657588357949016,29,"stoel",214,7.15302235180632
22,1.04087408583265,0.533327712416982,31,"tand/tanden",151,7.89511657799248
23,0.986417130834244,0.485677804233337,23,"lepel",174,8.26980792031931
24,1.51450136070556,0.602720273726822,192,"klein",305,6.35624946041553
25,1.75706651037431,0.698973616676485,39,"krijgen",356,6.27991715477311
26,1.63604887871912,0.577693467971782,32,"jongen",252,5.79839353451306
27,1.93920108563976,0.823230741101142,22,"krijgen",356,6.96921529618932
28,2.21001730838873,0.882258922082983,31,"schudden",373,4.55472250634023
29,2.21127764949469,0.963529908868647,78,"schudden",373,4.54252555712765
30,2.24128057309624,0.867109862311049,67,"schudden",373,4.24387776140052
