"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",1,1,2,3,4,5,6,8,10,13,15,18,21,24,27
"10",2,3,4,5,7,9,11,14,17,20,23,27,31,35,38
"15",4,5,6,8,11,13,16,19,23,26,30,34,38,42,47
"20",5,7,9,11,14,17,20,24,28,32,36,40,45,49,53
"25",7,9,12,15,18,21,25,29,33,37,42,46,50,55,59
"30",10,12,15,18,21,25,29,33,37,42,47,51,56,60,64
"35",12,15,18,21,25,29,33,37,42,47,51,56,60,65,69
"40",15,18,21,25,29,33,37,42,46,51,56,60,65,69,73
"45",18,21,25,28,33,37,41,46,51,55,60,65,69,73,77
"50",21,25,28,32,37,41,46,50,55,60,64,68,73,77,80
"55",25,28,32,36,41,45,50,54,59,64,68,72,76,80,83
"60",28,32,36,41,45,49,54,59,63,68,72,76,80,83,86
"65",33,37,41,45,49,54,58,63,67,72,76,79,83,86,89
"70",37,41,45,50,54,59,63,67,72,76,79,83,86,89,91
"75",42,46,51,55,59,63,68,72,76,79,83,86,89,91,93
"80",48,52,56,60,64,69,73,76,80,83,86,89,91,93,95
"85",55,59,63,67,70,74,78,81,84,87,90,92,94,96,97
"90",63,67,70,74,77,80,83,86,89,91,93,95,96,97,98
"95",74,77,80,83,85,88,90,92,94,95,97,98,98,99,99
"99",88,90,92,93,95,96,97,98,98,99,99,100,100,100,100
