"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",3,4,5,6,7,8,10,11,13,16,18,21,24,27,31
"10",5,6,8,9,11,13,16,18,21,25,28,32,36,41,45
"15",7,9,10,13,15,18,21,24,28,32,36,41,46,51,56
"20",9,11,13,16,18,22,25,29,34,38,43,49,54,59,65
"25",11,13,15,18,22,26,30,34,39,44,50,55,61,66,71
"30",12,15,18,21,25,29,34,39,44,50,55,61,67,72,77
"35",14,17,20,24,28,33,38,43,49,55,61,66,72,77,82
"40",16,19,23,27,31,36,42,48,53,59,65,71,76,81,86
"45",18,21,25,30,35,40,46,52,58,64,70,75,80,85,89
"50",20,24,28,33,38,44,50,56,62,68,74,79,84,88,92
"55",22,26,31,36,41,47,54,60,66,72,78,83,87,91,94
"60",24,29,34,39,45,51,57,64,70,76,81,86,90,93,96
"65",27,32,37,42,49,55,61,68,74,80,85,89,92,95,97
"70",30,35,40,46,52,59,66,72,78,83,88,92,94,97,98
"75",33,38,44,50,56,63,70,76,82,87,91,94,96,98,99
"80",36,42,48,54,61,68,74,80,85,90,93,96,98,99,99
"85",40,46,52,59,66,73,79,84,89,93,95,97,99,99,100
"90",46,52,58,65,72,78,84,89,93,96,97,99,99,100,100
"95",53,60,67,73,80,85,90,94,96,98,99,100,100,100,100
"99",67,74,80,85,90,94,97,98,99,100,100,100,100,100,100
