"discrimination","difficulty","guessing","upper_asymptote","definition"
1.43427012650762,-0.573889388740369,0,1,"あーあっ (よくないこと)"
2.57423277667501,-0.754410910987359,0,1,"アイタ (いたい)"
2.96851865045283,-0.756288742794726,0,1,"オイチィ (おいしい)"
2.33106776383357,-0.00655487980526186,0,1,"ガーガー (アヒル)"
2.78011651033416,-0.435913866593307,0,1,"ガオー (ライオン)"
2.83420622637252,0.0857115085868102,0,1,"コケコッコ (にわとり)"
2.98489203717669,-0.26825749818639,0,1,"シュッポッポー (汽車; きしゃ)"
2.79543485500426,-0.910586052527837,0,1,"ニャンニャン (ネコ)"
2.61017189580559,-0.883303676302965,0,1,"ブーブー (車; くるま)"
2.77330731375571,0.0269595828080745,0,1,"メーメー (ヤギ)"
2.69837886647819,-0.16429069536083,0,1,"モー (牛; うし)"
2.85835269368686,-1.2719141692801,0,1,"ワンワン (犬; いぬ)"
4.45627188277448,0.144938175091328,0,1,"アヒル"
6.19649748616092,-0.206599141835138,0,1,"蟻 (あり)"
3.264601085274,-0.530890011111425,0,1,"犬 (いぬ)"
6.99653944114534,-0.234226936697038,0,1,"兎 (うさぎ)"
4.8257918290031,-0.0401529434622808,0,1,"牛 (うし)"
5.32648539356174,-0.100637475809618,0,1,"馬 (うま)"
6.60137037818353,-0.212253517566978,0,1,"蛙 (かえる)"
7.14316300289875,-0.182332064357762,0,1,"カニ (生き物の名前)"
5.10451115063012,0.0668938112874374,0,1,"カバ (生き物の名前)"
7.15809482890285,-0.163313754383032,0,1,"カメ (生き物の名前)"
4.60896537657062,0.0563110078380035,0,1,"カラス"
6.38952396342126,-0.207054379111355,0,1,"キリン (生き物の名前)"
6.35055601532853,-0.22362913574868,0,1,"熊 (くま)"
5.180761557258,0.0684693555460783,0,1,"コアラ"
7.99555585294039,-0.261229157987662,0,1,"魚 (さかな; 生き物の名前)"
6.88512823589049,-0.114816275564611,0,1,"猿 (さる)"
4.2562583395768,0.150750742115325,0,1,"シマウマ"
6.0644500593117,-0.418540841164838,0,1,"象 (ぞう)"
5.2080500085593,-0.42432081076857,0,1,"チョウチョ"
5.94979709560981,0.276106267952203,0,1,"動物 (どうぶつ)"
5.23891477615276,0.122453634548378,0,1,"虎 (とら)"
6.69746634602625,-0.150408122567032,0,1,"鳥 (とり)"
4.29072263205805,0.239501361117809,0,1,"ニワトリ (生き物の名前)"
3.87788946336357,-0.435103817013239,0,1,"猫 (ねこ)"
5.69784553570047,0.0254604532642586,0,1,"ネズミ"
5.39548911748606,0.0816654436847902,0,1,"蜂 (はち)"
3.58213438503968,0.0502292111810854,0,1,"鳩 (はと)"
4.36284759973629,-0.312547959346907,0,1,"パンダ"
4.77368486881671,0.0945833004559222,0,1,"ヒヨコ  (生き物の名前)"
5.11352857503797,-0.193026156265344,0,1,"豚 (ぶた; 生き物の名前)"
6.05205239294861,0.0430413108952391,0,1,"ヘビ"
5.95952829548735,-0.1699021314869,0,1,"ペンギン"
5.36553826202172,-0.0634022505729613,0,1,"虫 (むし)"
4.96091195331678,-0.18728322551701,0,1,"ライオン"
5.97133313355334,0.101673003635597,0,1,"リス"
5.59253410579539,0.0421154634982429,0,1,"ワニ"
2.79726622035498,0.0979932348199685,0,1,"汽車 (きしゃ)"
3.87447973994019,-0.483520878978566,0,1,"車 (くるま; 乗り物)"
5.03462793855908,-0.060434218256632,0,1,"自転車 (じてんしゃ)"
4.46713806130748,-0.408653567332052,0,1,"電車 (でんしゃ)"
3.9177314318103,-0.0784418668017346,0,1,"トラック (乗り物)"
5.08276165782354,-0.479932346223845,0,1,"バス (乗り物)"
3.62255866406565,-0.0990689941638944,0,1,"パトカー"
5.33236662990511,-0.218331113843169,0,1,"飛行機 (ひこうき)"
6.14530521726472,-0.0485531419138327,0,1,"船 (ふね)"
7.249159232091,-0.158702442727168,0,1,"絵本 (えほん)"
5.84871174142003,0.163768797999974,0,1,"えんぴつ"
7.51431417872678,-0.038948742456249,0,1,"おもちゃ"
6.51692455682828,0.0473422202775692,0,1,"積み木 (つみき)"
5.93297218887709,0.191218263665162,0,1,"人形 (にんぎょう)"
8.16549716357426,-0.124224345855533,0,1,"風船 (ふうせん)"
5.35855217621148,-0.424076724070096,0,1,"ボール"
4.87124335629772,-0.0147437596761726,0,1,"本 (ほん)"
5.25660780059043,-0.196162094460756,0,1,"アイスクリーム"
4.14268614130466,0.225852045909985,0,1,"飴 (あめ)"
5.96865006763142,-0.345890156610408,0,1,"苺 (いちご)"
5.05263746487064,-0.222033631213089,0,1,"うどん"
7.77754881379264,-0.218671588269956,0,1,"おにぎり・おむすび"
3.99614480892633,-0.621744391685977,0,1,"お茶 (おちゃ)"
8.49449980013686,-0.107892322190099,0,1,"カレー"
5.61072550475855,-0.454486239658339,0,1,"牛乳 (ぎゅうにゅう)"
5.87708400874028,-0.106349730498399,0,1,"ケーキ"
7.11642651368693,-0.351264134372583,0,1,"ごはん (お米のこと)"
8.56226398794479,-0.21697792243638,0,1,"魚 (さかな; 食べ物)"
5.24965360964589,-0.402755897729945,0,1,"ジュース"
5.31690831570533,-0.105544729748029,0,1,"すいか"
9.00520157860091,-0.143928989609573,0,1,"卵 (たまご)"
4.0072489577612,-0.19721480276963,0,1,"チーズ"
6.4068332748782,0.0251262358555778,0,1,"豆腐 (とうふ)"
7.08099564914463,-0.25319831464401,0,1,"トマト"
10.3969488263315,-0.0449263058302038,0,1,"肉 (にく)"
6.09400240755279,-0.291848629141502,0,1,"にんじん"
3.46940476756243,-0.763465456838389,0,1,"バナナ"
4.13299287960649,-0.71535084845825,0,1,"パン"
5.94520999725246,-0.291626953027947,0,1,"ぶどう"
5.12114597761508,0.0994069908811835,0,1,"プリン"
4.91347148234724,0.0455603539458737,0,1,"豆 (まめ)"
6.54854685725062,-0.228765272570932,0,1,"みかん"
5.12923899642276,-0.21506573794679,0,1,"水 (みず)"
5.27405749344717,0.135903742822408,0,1,"味噌汁 (みそしる)"
4.30949381104559,0.143194971529863,0,1,"ミルク"
